"contract_id","group_id","fold_id","held_out_study","seed","execution_order","training_samples","held_out_samples","training_biological_pairs","training_component_rows","component_scales","query_biological_pairs","query_component_rows","ranking_methods","query_ranking_rows","outcome_label_state","biological_outcomes_computed","fusion_jobs","outcome_jobs"
"mv06g_training_scale_workload_v1","mv06f_group_v1:fc5d677c53b007825795a532217a7a0b304d1ba194ed55ac2b9453bb46528caf","large_loso_v1:SRA667709","SRA667709",20260805,21,84,6,3486,13944,4,504,2016,9,4536,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:d3489bd29f963998a866f656c34b28ad83f39f428edb2044db6ba7d6c74b497e","large_loso_v1:SRA667709","SRA667709",20260806,22,84,6,3486,13944,4,504,2016,9,4536,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:f626f7a23c0da9442869073a8d1578ff762ca365755279f9d24c91fa42f02744","large_loso_v1:SRA667709","SRA667709",20260807,23,84,6,3486,13944,4,504,2016,9,4536,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:4098ac5af058ba0e221a63270e46cf59c3d75ced53824e13d228750b93a14176","large_loso_v1:SRA667709","SRA667709",20260808,24,84,6,3486,13944,4,504,2016,9,4536,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:5a583b2218848b65208a9a6bb9aa69dedba69c7379bc71dbcb10d07756fb8843","large_loso_v1:SRA667709","SRA667709",20260809,25,84,6,3486,13944,4,504,2016,9,4536,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:4a29e4b73f9837e3269f46e4075ba7ff92d136a44fb18445e29ea5b5f700bfa2","large_loso_v1:SRA550660","SRA550660",20260805,26,85,5,3570,14280,4,425,1700,9,3825,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:ec04a019520b47f2e06bf36357157ac681485db225c863b875fd8e2d310da587","large_loso_v1:SRA550660","SRA550660",20260806,27,85,5,3570,14280,4,425,1700,9,3825,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:14fb892565d0e046e4f9b8d2c6d6b9d9c24776387fbb25b43a88653832bd6895","large_loso_v1:SRA550660","SRA550660",20260807,28,85,5,3570,14280,4,425,1700,9,3825,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:b9a686861c0049811aba93c5669c920ee9e142f21c8983a3eda62f8ad8c2fe35","large_loso_v1:SRA550660","SRA550660",20260808,29,85,5,3570,14280,4,425,1700,9,3825,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:1e66635d25e45e7b660e0e417cd56eb8bb7b90dd253e8ea2933a93d071a3246e","large_loso_v1:SRA550660","SRA550660",20260809,30,85,5,3570,14280,4,425,1700,9,3825,"closed",FALSE,0,0
