"contract_id","source_tier","sample_id","qc_cells","raw_genes","counts_sha256","raw_cache_bytes","raw_cache_sha256","selection_axes","selected_cells_per_axis","selection_axis_sha256","normalization_fit_scope","topology_observation_scope","exact500_panel_sha256","outcome_label_state","biological_outcomes_computed"
"mv08n_internal_source_axis_v1","added34","SRA701877_SRS3279684",1885,19917,"e6f08bce8ffb3ad44f695d5349ad6a1bfe578c402cea79fd9bb6347d176f8b4c",8869636,"a36558b9f3b73987e1a34da7085b5855280a5cd6f29322696dbd498fcf90b0ad",5,384,"856235680d75da78a29ec4d95cec1291d6ed011636d8a4ff70c0396626b7926a","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA701877_SRS3279685",943,17112,"2759fb06d255e7744e074167eefc1be796b712cefdcd32b2f2e1441935352893",4378417,"560a25a46e039d730828a1d264dfdb40fca81671b6105c33b38fd63cfca53f10",5,384,"96ecc57a58fa9eed3aeb23d5f87d4e5064d94a3b454bce8d3c972a8c2f6ec92d","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA701877_SRS3279686",1632,20410,"b1ccb2ac342908300a827a564ee05d321b5add30e3110ad7ff29370a5680c26f",9096110,"a282e32adb5f62c46e472a13ac4e3db74b7d24948b638e32264937684a39eec0",5,384,"99ec1bd895de1bace7e587fb35e409078410af0dc42c861ce65b966786c860f7","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA701877_SRS3279687",2106,21451,"b6b105ef2a7195e06dfe68217a8d2bfd901e401009650779ae6088714b72606e",12580253,"0bcb5b6d6730fb3e301d883c66615bf7b7f8e0996faa4280046b58c8d1d894fb",5,384,"d57814707b3e8667214c5b54b766f341bc1453efd2002985ce8fbaf24902d50a","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA701877_SRS3279688",396,13884,"98d7202e620e950b41b9569b85d4b8aa5b1ab3f4886e85f25eef9d00bc47ed4c",1577887,"b5fc88c6ebe85042b0a163f43a6e03966ec70c65900f12383711698d84762dd2",5,384,"65d772e6525ad837fca6be37296719681b9ad2638564473a05a86efa5b42a3a2","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA701877_SRS3279689",1090,19988,"07c76254074ded56b5850e08e27c81d0e135bb370d598b46924df82f47eb3ee4",6831478,"9dea14ec77417ce6c648c7b719154e45672cfe59b424721794bf5aa7c4ea3f44",5,384,"bb6e8c9e946cca10c2a00eac5a67bebe06306feeb0243abd96b4163c1ea2ac52","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA701877_SRS3279690",2157,21914,"0c367e056942314e8540b00c0bbbe3070685525584af59e258bd6277841f1a69",12129510,"f880e73265ebf278305d60ef2da186027fb634c2dc9ac2870099e0a20bf9e185",5,384,"68a4ad39a662e8e280f121975fd6412daa1ae7049c7db4c6d098250e270d0ebe","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA701877_SRS3279691",1640,20783,"0960d79c250f7ea1d5140d28539d6af30499453fdd989e3f7b0667776c8efecd",8597801,"23b397551655ef8ee1fe45fee122c779ef9c391574828d3413d52ec0183cf239",5,384,"bd720c716331a8767035718eabfcbfcb861f8e2f250d0bb48891cf8e13ab1a9e","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA701877_SRS3279692",2619,23687,"00f12c6bcde2669541492c3f284b907f6d88587d0080ac68bb3bc27d31b4abc9",15441253,"b639ad9600a620ce835f19429281c6464f3470563c86a2d7a372d3939e3ee018",5,384,"8c1814519b747c567085113b5d20698c691550b7fe5e0e2207e0d3baab69c4ca","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA701877_SRS3279693",2491,20879,"cbcfab389ba81a12414dd8885f26e2c752557b209165cb2ddfde755e74456efb",11877245,"62ac41fb3011395bd8c7fdb0b1afcc47043afdfa1b8298e21ec968cdaad79c73",5,384,"51e82f82619073f58f75fa439b0aed5ebb1e99ad48f46fe773e299e98082131f","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA701877_SRS3279694",2213,18859,"576cae58fd7c06d999420488646c4b50dd1ebd0be55b40e3a3f5dd94f210fbd8",7712702,"92efbc926491ec874edd72f688d1afeb0dbd7233f0cc42031c724c2398554fba",5,384,"89ee790629c58b5884ef4eec837cae5e9b8c6c43ff2d0ae7af810ad037f0a0e1","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA701877_SRS3279695",2992,21759,"2c52a3f0f214a5ee26e8430c126820ca06f84620f5c4508ea4c1881564e640f6",14151602,"7ff73e3646f3d377e03681f35870788a25bf4deb2e3c1bef5fc71b4371832d30",5,384,"22680bbe6c0b021a2b5e239469dcba5c55b09671a710dc2ad23ffd46958046ed","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA742961_SRS3565195",5718,21491,"8d8666b3fdd21c63226d4985ce68969591c0e1d0fdf41ae5ddc6fd666a53f1af",16108148,"21d0cb012788e34415fe6d4b192d47b46cbc2f8676ed168bdd448937170ee1d0",5,384,"02ad36dacb98f79c7505e0d20c38d88c7472426d63e81ce15a27011a74f09894","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA742961_SRS3565196",7791,22324,"0562d169fdf7be279d3b849cfb1c00e22df85d6368faa22bb61b3f00208667e4",24170735,"25a12d8613a8490066af75ee047086759f7fd2b65a7682ab86d1eed7317d64c3",5,384,"5e0a3d44b2e96c47e90843ec266b0a72e78252d8561b9f3a3a03865391e0fc6c","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA742961_SRS3565197",11475,22887,"7f119f29d0ac00440c23c5639288c2b2a25d7ce1a02dfc8ce2aa29e92dc5b3c1",31176698,"3771018468e07389203d1c776d06e4d58e78284d576c440007cfbe3f79f02bcd",5,384,"7f973aff13540ce6e897291b81cf8cb052249262a1c905e945697f67492ba24e","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA742961_SRS3565198",7396,22235,"2cd934bc1b0efb9cf91df5cadd2f22666e38c1c08b181a8ba7f842d8f4c6ff9b",19566535,"15f74311a31f1e35a520415d99fc3f952ba0c85da2569d610af3374bb506431e",5,384,"8be2cdd243ac51f77fe362e3d67014417f377bf892a32b76b76a017a28040cae","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA742961_SRS3565199",8050,23415,"8d4ef1a192904aab66f0f294ce883628bfefec842b1fcda91732698db055c2c9",22424713,"94cb74e72cbe84cbb1a6a500ce42d05ece6acbb956ad635790eed59042007777",5,384,"12b86527e29594c0f6482210d5a75f4832456f72a9f9fc645e73e4e0868cf2e5","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA742961_SRS3565201",7482,22173,"848edd0b88ad87eb9a8e7ee81fd95c0e8cfd93f6f9a2de70304e5da083106f92",20678184,"e1aad5fc625d946df76315f1820884f2642169b5ef91c5848e19ec401277d17d",5,384,"62a16efe6e36f04bc56f2e657e31ac1c4f5e36f7a866742854ca10050c2cab78","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
