"contract_id","source_id","private_path_not_published","bytes","sha256","independently_closed_by","closure_manifest","closure_manifest_bytes","closure_manifest_sha256"
"mv11h_private_source_binding_v1","historical_gene_partitions","tmp/mv10e-full-clustering-private-v1/mv10e-sample-partitions.csv",56572844,"4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710","MV10-F","docs/audits/mv10f-full-clustering-closure-v1/mv10f-artifact-manifest.csv",565,"ba4dcb369bf3bba071afd8d2cf225893221dbf2bae6b872f46e663a9067666bb"
"mv11h_private_source_binding_v1","historical_cell_partitions","tmp/mv11e-cell-benchmark-private-v1/mv11e-sample-partitions.csv",15569137,"ba62457a402143c5ace6191f65fd2e820482421dc0c94f1b3d03d0b74189a02d","MV11-F","docs/audits/mv11f-cell-benchmark-closure-v1/mv11f-artifact-manifest.csv",688,"99cd32bf08de82fe76435d21020f66b207e35368c47f0fb84c34658c6d96cb31"
