"contract_id","execution_head","attempt_order","attempt_id","stage","disposition","exit_status","elapsed_seconds","peak_process_tree_rss_bytes","elapsed_cap_seconds","rss_cap_bytes","output_file","output_bytes","output_sha256","stdout_bytes","stderr_bytes","stderr_class","workers","retries","outcome_label_state","biological_outcomes_computed"
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",15,"ph_primary__15","ph_primary","completed",0,5.7302188873291,97214464,1800,8589934592,"ph/0015__8d4b850b8cdb0f58ce2b.rds",43050,"c7508672749a6e9668053ecc41543d90c85bbc5ff25edbfbaa329c954549770a",160,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",16,"ph_primary__16","ph_primary","completed",0,2.0953197479248,95408128,1800,8589934592,"ph/0016__3307ab5c3ada9bc36618.rds",47262,"8a7029ca7b2c10e621d9e26255a2604f67c1b3383df5283182b273bb1fbc6597",160,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",17,"ph_primary__17","ph_primary","completed",0,2.08114862442017,97132544,1800,8589934592,"ph/0017__d00dbadc6a2384d27f1c.rds",45426,"5fa0b08fc08a574e4a979616666bfd05b9d5b182957b2ff4bfc651985a11ecbe",160,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",18,"ph_primary__18","ph_primary","completed",0,1.83434200286865,94363648,1800,8589934592,"ph/0018__9d4156a4a8c9d8fac1be.rds",40998,"056bb40e96f30cb2abf5d01e006726026ec335d8c8536874e6fb7ab900ce131d",160,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",19,"ph_primary__19","ph_primary","completed",0,2.08806538581848,94212096,1800,8589934592,"ph/0019__25dc9a23e159a8db8fc3.rds",51366,"93dbdb00b60f78f7cd46b7e617e24848ee4caf697f1c266d1f78170e9c01fe6d",160,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",20,"ph_primary__20","ph_primary","completed",0,2.11624693870544,94466048,1800,8589934592,"ph/0020__9bc4762d43bb4d8c7c44.rds",52662,"3801590287503b6d49ee69a2cbc0a1f421b910704b224c865ba31e0d021ace1c",160,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",21,"ph_primary__21","ph_primary","completed",0,2.08365178108215,96538624,1800,8589934592,"ph/0021__1d7b1e3717eeba697a5e.rds",44382,"64d81aff6d511414383525401e67cf2c4b169efe440e1e955a9242357cb224bb",160,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",22,"ph_primary__22","ph_primary","completed",0,4.1887092590332,155619328,1800,8589934592,"ph/0022__3a8eb9af3d0bc57ff368.rds",94852,"392e554f2b7a42ae0795d4f962c7913ea45d10c0e1452cef441a3317b19c4233",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",23,"ph_primary__23","ph_primary","completed",0,3.91249227523804,123838464,1800,8589934592,"ph/0023__f51cc4e16c8a98dff30d.rds",93088,"986e6dced9dbc9d874632c6c49e2fb759669938d6f824d97c6d35b1c45354fa1",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",24,"ph_primary__24","ph_primary","completed",0,4.17719149589539,125734912,1800,8589934592,"ph/0024__a5d7e3db125d53b399e5.rds",95464,"0f0c1675b7eb6d2429b657fce5fbb1dce0e7331a9cc08723c2e48f11c0820c7c",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",25,"ph_primary__25","ph_primary","completed",0,3.90992116928101,132042752,1800,8589934592,"ph/0025__437bd22d936068311cde.rds",97048,"4ff1cd863a8ec5c5fc8cfe89308acbe289fa498a3beff5d5363a421df8389675",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",26,"ph_primary__26","ph_primary","completed",0,3.64615845680237,123891712,1800,8589934592,"ph/0026__39560bfc7372f9305488.rds",94420,"e350ae8f9eff1020b3faab362a096e9c86622548ab1cdf75d47939b87ba6239c",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",27,"ph_primary__27","ph_primary","completed",0,3.64289331436157,123916288,1800,8589934592,"ph/0027__c339834b1548ddf8134e.rds",92728,"c2f63a0ca7272e484919e63c42ccce0e1bc874eb232a407a1639056f89c940f9",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",28,"ph_primary__28","ph_primary","completed",0,3.92250823974609,123805696,1800,8589934592,"ph/0028__5ec2626860e388fd9638.rds",95896,"a33386ace4e137340ce7e2da3af46b32efc1e2d16e22ca2c1a7c2d340b0e5f50",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",29,"ph_primary__29","ph_primary","completed",0,3.65832424163818,129921024,1800,8589934592,"ph/0029__ce687c86d16ec22e0149.rds",95284,"604031e1ae4593a9841dbd3a6ead42fff2775f659f79c8be68682122263b60fb",172,0,"empty",1,0,"closed",FALSE
