"execution_head","comparison_order","dataset_scope","contrast_id","seed","homology_dimension","left_stack","right_stack","left_payload_set_sha256","right_payload_set_sha256","pair_axis_sha256","contract_id","comparison_id","units","unordered_pairs","distance_transform","pearson","spearman","nonnegative_scale","relative_stress","left_median_distance","right_median_distance","median_abs_median_scaled_change","p95_abs_median_scaled_change","neighbor_k","mean_neighbor_jaccard","median_neighbor_jaccard","p10_neighbor_jaccard","interpretation","outcome_label_state","biological_outcomes_computed","clustering_jobs","fusion_jobs","label_jobs","outcome_jobs"
"65774f6c11090bdc7c52d587118daf1bd5683acc",11,"internal124","layer_effect",20260808,"H0","allqc_data_exact500","allqc_residual_exact500","c4323b3a15dfd9adda72da55676745f09de99f55f92b5fe815f5c25909a36cef","9f668f805e9b1f4df2e1dfea3804fb31679ff123f5f18aca345be571dce8b075","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv08zy_distance_comparison_summary_v1","mv08zy:internal124:layer_effect:20260808:H0",124,7626,"sqrt_exact_squared_L2",0.968656920387652,0.947729880000782,1.01145968679526,0.144803596338452,1.03751097952475,1.14517234904415,0.156997693207035,0.490630753096547,10,0.419651703451514,0.428571428571429,0.176470588235294,"descriptive_no_equivalence_or_biological_claim","closed",FALSE,0,0,0,0
"65774f6c11090bdc7c52d587118daf1bd5683acc",12,"internal124","net_migration_effect",20260808,"H0","existing_selectedfit_data_exact500","allqc_residual_exact500","5ceed8202960172aa96e76228cf867fbfd4e58de4e477815328d0eb892e62732","9f668f805e9b1f4df2e1dfea3804fb31679ff123f5f18aca345be571dce8b075","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv08zy_distance_comparison_summary_v1","mv08zy:internal124:net_migration_effect:20260808:H0",124,7626,"sqrt_exact_squared_L2",0.969033056982176,0.948319091253943,1.01445288913488,0.143497344917082,1.04114569111203,1.14517234904415,0.155187065166694,0.47191050515644,10,0.418828436923663,0.428571428571429,0.176470588235294,"descriptive_no_equivalence_or_biological_claim","closed",FALSE,0,0,0,0
"65774f6c11090bdc7c52d587118daf1bd5683acc",13,"internal124","fit_scope_effect",20260809,"H0","existing_selectedfit_data_exact500","allqc_data_exact500","513bf7635e65642140a02d0cd5181548671fe9851d6a8f9134f38c55b0ab0377","4ff732abb82fbe059e57f16d9c05cb2924e798dd9abeabaf58adb6b1270dce9a","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv08zy_distance_comparison_summary_v1","mv08zy:internal124:fit_scope_effect:20260809:H0",124,7626,"sqrt_exact_squared_L2",0.999629975267561,0.99940000987978,1.00571712748706,0.0158781541774971,1.01349644468529,1.0174216045978,0.0127298380153049,0.0558572402447046,10,0.916854650725618,1,0.818181818181818,"descriptive_no_equivalence_or_biological_claim","closed",FALSE,0,0,0,0
"65774f6c11090bdc7c52d587118daf1bd5683acc",14,"internal124","layer_effect",20260809,"H0","allqc_data_exact500","allqc_residual_exact500","4ff732abb82fbe059e57f16d9c05cb2924e798dd9abeabaf58adb6b1270dce9a","1cfdf785c2307f9d6fa15f84917073af8d83082ac6b73b8de055e8afe5a159b4","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv08zy_distance_comparison_summary_v1","mv08zy:internal124:layer_effect:20260809:H0",124,7626,"sqrt_exact_squared_L2",0.968795640369168,0.946719466779621,1.00596050007438,0.144069332521592,1.0174216045978,1.12049883174266,0.156042790223242,0.490542173930126,10,0.411224350097565,0.428571428571429,0.176470588235294,"descriptive_no_equivalence_or_biological_claim","closed",FALSE,0,0,0,0
"65774f6c11090bdc7c52d587118daf1bd5683acc",15,"internal124","net_migration_effect",20260809,"H0","existing_selectedfit_data_exact500","allqc_residual_exact500","513bf7635e65642140a02d0cd5181548671fe9851d6a8f9134f38c55b0ab0377","1cfdf785c2307f9d6fa15f84917073af8d83082ac6b73b8de055e8afe5a159b4","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv08zy_distance_comparison_summary_v1","mv08zy:internal124:net_migration_effect:20260809:H0",124,7626,"sqrt_exact_squared_L2",0.96967009016846,0.948238562294475,1.01219226029608,0.1416778081989,1.01349644468529,1.12049883174266,0.154718248999223,0.480185825455952,10,0.414201146124646,0.428571428571429,0.198529411764706,"descriptive_no_equivalence_or_biological_claim","closed",FALSE,0,0,0,0
"65774f6c11090bdc7c52d587118daf1bd5683acc",16,"internal124","fit_scope_effect",20260805,"H1","existing_selectedfit_data_exact500","allqc_data_exact500","38200e588b082bfbacfc486f31865a2c0e163b0a1e122d5313806a323e134af6","c137f95a58f21525e00e339e610f7ed7d7d68b731e0c8ad7b84638dc78e5cfb7","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv08zy_distance_comparison_summary_v1","mv08zy:internal124:fit_scope_effect:20260805:H1",124,7626,"sqrt_exact_squared_L2",0.996667552333693,0.995892532971036,0.986956055355141,0.0309450104841038,0.0273525080161923,0.0268523765861435,0.0234031318414549,0.0725808640697825,10,0.756498877466619,0.818181818181818,0.538461538461538,"descriptive_no_equivalence_or_biological_claim","closed",FALSE,0,0,0,0
"65774f6c11090bdc7c52d587118daf1bd5683acc",17,"internal124","layer_effect",20260805,"H1","allqc_data_exact500","allqc_residual_exact500","c137f95a58f21525e00e339e610f7ed7d7d68b731e0c8ad7b84638dc78e5cfb7","6e22dee12143adfa9b991238e1193da1f44e0aa9361572211bbbdd44220d1296","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv08zy_distance_comparison_summary_v1","mv08zy:internal124:layer_effect:20260805:H1",124,7626,"sqrt_exact_squared_L2",0.917680094366329,0.897897088137934,1.1801619932354,0.152129990141599,0.0268523765861435,0.0323439749050355,0.107635952101635,0.352950188428184,10,0.318012845926558,0.333333333333333,0.130718954248366,"descriptive_no_equivalence_or_biological_claim","closed",FALSE,0,0,0,0
"65774f6c11090bdc7c52d587118daf1bd5683acc",18,"internal124","net_migration_effect",20260805,"H1","existing_selectedfit_data_exact500","allqc_residual_exact500","38200e588b082bfbacfc486f31865a2c0e163b0a1e122d5313806a323e134af6","6e22dee12143adfa9b991238e1193da1f44e0aa9361572211bbbdd44220d1296","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv08zy_distance_comparison_summary_v1","mv08zy:internal124:net_migration_effect:20260805:H1",124,7626,"sqrt_exact_squared_L2",0.920450705939692,0.902274243656708,1.16578806480482,0.149562367943787,0.0273525080161923,0.0323439749050355,0.108490873699651,0.341234522827126,10,0.308093491392702,0.333333333333333,0.111111111111111,"descriptive_no_equivalence_or_biological_claim","closed",FALSE,0,0,0,0
"65774f6c11090bdc7c52d587118daf1bd5683acc",19,"internal124","fit_scope_effect",20260806,"H1","existing_selectedfit_data_exact500","allqc_data_exact500","2e768b927a5e180ca8e23877fdc273649f7fadb7a4f85ab1ebd094a6e4004eb7","8e40b1a07cd3fa694912ddaf66af997db22fa0fc1d76441dcec913182ba6f2f8","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv08zy_distance_comparison_summary_v1","mv08zy:internal124:fit_scope_effect:20260806:H1",124,7626,"sqrt_exact_squared_L2",0.996202403527001,0.995170086418416,0.99655622097503,0.033681480962097,0.0276855106426879,0.0275126351768027,0.0231806789591575,0.0783714454720101,10,0.758526419816742,0.818181818181818,0.538461538461538,"descriptive_no_equivalence_or_biological_claim","closed",FALSE,0,0,0,0
"65774f6c11090bdc7c52d587118daf1bd5683acc",20,"internal124","layer_effect",20260806,"H1","allqc_data_exact500","allqc_residual_exact500","8e40b1a07cd3fa694912ddaf66af997db22fa0fc1d76441dcec913182ba6f2f8","467634383e4eb482e1960f24f0d7d8bbd387351166484d21b7d472f25a6ed469","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv08zy_distance_comparison_summary_v1","mv08zy:internal124:layer_effect:20260806:H1",124,7626,"sqrt_exact_squared_L2",0.912157095386829,0.893413323907739,1.16958554036678,0.159798704938849,0.0275126351768027,0.0326639282923475,0.116025985601392,0.362953104719119,10,0.307414204635317,0.333333333333333,0.111111111111111,"descriptive_no_equivalence_or_biological_claim","closed",FALSE,0,0,0,0
