"contract_id","dataset_scope","contrast_id","seed","metric","h0_value","h1_value","h1_minus_h0","interpretation"
"mv09_dimension_delta_v1","external8","layer_effect",20260805,"median_abs_median_scaled_change",0.142748141004884,0.153572447828132,0.010824306823248,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","external8","layer_effect",20260805,"p95_abs_median_scaled_change",0.382593876855197,0.318339169573732,-0.064254707281465,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","external8","layer_effect",20260805,"mean_neighbor_jaccard",1,1,0,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","external8","layer_effect",20260805,"median_neighbor_jaccard",1,1,0,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","external8","layer_effect",20260805,"p10_neighbor_jaccard",1,1,0,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","external8","residual_panel_effect",20260805,"pearson",0.998959939023002,0.964460752773126,-0.0344991862498759,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","external8","residual_panel_effect",20260805,"spearman",0.994526546250684,0.9584017515052,-0.036124794745484,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","external8","residual_panel_effect",20260805,"nonnegative_scale",1.00968085884992,0.961288663549555,-0.048392195300365,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","external8","residual_panel_effect",20260805,"relative_stress",0.0215940595058738,0.0459718235401741,0.0243777640343003,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","external8","residual_panel_effect",20260805,"left_median_distance",0.526961787259848,0.0163643429959806,-0.510597444263867,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","external8","residual_panel_effect",20260805,"right_median_distance",0.520601320251066,0.0157066970171895,-0.504894623233876,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","external8","residual_panel_effect",20260805,"median_abs_median_scaled_change",0.0270935110549929,0.0308298632098137,0.0037363521548208,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","external8","residual_panel_effect",20260805,"p95_abs_median_scaled_change",0.0619245683214754,0.0863836572951712,0.0244590889736958,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","external8","residual_panel_effect",20260805,"mean_neighbor_jaccard",1,1,0,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","external8","residual_panel_effect",20260805,"median_neighbor_jaccard",1,1,0,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","external8","residual_panel_effect",20260805,"p10_neighbor_jaccard",1,1,0,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260805,"pearson",0.99947177389428,0.996667552333693,-0.00280422156058702,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260805,"spearman",0.999263104636464,0.995892532971036,-0.00337057166542798,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260805,"nonnegative_scale",1.00341426282813,0.986956055355141,-0.016458207472989,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260805,"relative_stress",0.0188062767191418,0.0309450104841038,0.012138733764962,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260805,"left_median_distance",1.02735207056916,0.0273525080161923,-0.999999562552968,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260805,"right_median_distance",1.02826616889684,0.0268523765861435,-1.0014137923107,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260805,"median_abs_median_scaled_change",0.014295182536638,0.0234031318414549,0.0091079493048169,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260805,"p95_abs_median_scaled_change",0.0597301195291004,0.0725808640697825,0.0128507445406821,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260805,"mean_neighbor_jaccard",0.898582600195503,0.756498877466619,-0.142083722728884,"paired_descriptive_dimension_difference"
