"contract_id","dataset_scope","contrast_id","homology_dimension","metric","seeds","minimum","q25","median","q75","maximum","inference"
"mv09_internal_seed_summary_v1","internal124","layer_effect","H0","p95_abs_median_scaled_change",5,0.473580258284564,0.481653143306578,0.490542173930126,0.490630753096547,0.50873864429342,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","layer_effect","H0","pearson",5,0.967371615415119,0.967993386868695,0.968656920387652,0.968795640369168,0.969050908755887,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","layer_effect","H0","relative_stress",5,0.143939423900061,0.144069332521592,0.144803596338452,0.146597096349064,0.146754387089426,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","layer_effect","H0","right_median_distance",5,1.11469655188785,1.12049883174266,1.12236140525223,1.12444920472567,1.14517234904415,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","layer_effect","H0","spearman",5,0.945844202215999,0.946357564111563,0.946438444983456,0.946719466779621,0.947729880000782,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","layer_effect","H1","left_median_distance",5,0.0268523765861435,0.0272059447057426,0.0273054720296919,0.0273588059659983,0.0275126351768027,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","layer_effect","H1","mean_neighbor_jaccard",5,0.283751727150309,0.305908176014538,0.307414204635317,0.310378277165204,0.318012845926558,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","layer_effect","H1","median_abs_median_scaled_change",5,0.107635952101635,0.113202439973125,0.114520040171734,0.114840724733801,0.116025985601392,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","layer_effect","H1","median_neighbor_jaccard",5,0.25,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","layer_effect","H1","nonnegative_scale",5,1.16958554036678,1.17774066139308,1.1801619932354,1.18501757673386,1.18542682486121,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","layer_effect","H1","p10_neighbor_jaccard",5,0.111111111111111,0.111111111111111,0.111111111111111,0.130718954248366,0.176470588235294,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","layer_effect","H1","p95_abs_median_scaled_change",5,0.352950188428184,0.354850964139586,0.362953104719119,0.383747897645311,0.388208653709157,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","layer_effect","H1","pearson",5,0.903052811413041,0.904011344931125,0.912157095386829,0.912402151798904,0.917680094366329,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","layer_effect","H1","relative_stress",5,0.152129990141599,0.156200426071486,0.159798704938849,0.164596960245578,0.166403444226717,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","layer_effect","H1","right_median_distance",5,0.0323439749050355,0.0326639282923475,0.032898908117936,0.0329266456147322,0.0331469722938972,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","layer_effect","H1","spearman",5,0.879213004399276,0.883731168271916,0.893413323907739,0.894717040035536,0.897897088137934,"none_descriptive_only"
