"contract_id","source_order","dataset_scope","unit_id","fit_cells","source_origin","cache_bytes","cache_sha256","worker_audit_sha256","private_locator_state","outcome_label_state","biological_outcomes_computed"
"mv08r_source_cache_binding_v1",1,"external8","HCA_BM_001",2818,"mv08q_production",3151274,"ded83f566bcf7ac262473e832026e92750757b5479af92e22ee598fe5e2f6f2e","c3b3ccd60cc98ab93810b50748c89c18f7268f720992a3be172210609898399b","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",2,"external8","HCA_BM_002",4614,"mv08o_primary",3151274,"869e731ddcc69aa26a329898451f6241910b6469cf9ff88681271cca3199bc09","3d2ec7ef27cb9a5149652b8faf8cb82a3b9865c62fa9b80112d1fd70717e5276","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",3,"external8","HCA_BM_003",3338,"mv08q_production",3151274,"aa94a475c15c4e1d4fd617dad46bf951e5224a548a4a8d502be30090d043b091","0fc03d465ea9b98fa751a7296cc1d41aa9ed429f0978bdd1be9ffb0e37b1971e","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",4,"external8","HCA_BM_004",2769,"mv08q_production",3151274,"7e83b0d6417632e0a1f36e7791003d8ec90ac8d0e2dab32cf1d86624d5eb0311","a7b3d3db45e31b9b6e23b57a1322a5ae34159d073cb483d0267cc32e65d915e8","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",5,"external8","HCA_BM_005",2571,"mv08q_production",3151274,"b2fe5145d84e9e7880323788fa307c3b09e09b0467148c9e672e6cb589ef5ca4","f4f811f7c66d6d1893b60a3bea93996b85fd22162853d4969fbcba79dc0711d6","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",6,"external8","HCA_BM_006",3608,"mv08q_production",3151274,"f43aa72456ce315a3d555f3e658ea957b34cca9376743cdb50ee456ae07dc214","3a8090ef0b7411d50eeeaceea1f89f11ae64381f9160291ddaad8e2cf4698f5e","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",7,"external8","HCA_BM_007",4076,"mv08q_production",3151274,"1b0f96dbf1f59594dd34cfb76b05c4a7661d3735d699e55bb71e2a3d28d2c214","c305a46f4a531d40cc838b85442d3ccbce0e688801c09e0bcbb59ab333006211","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",8,"external8","HCA_BM_008",3661,"mv08q_production",3151274,"7ef6d22953508b9e47385cf564192ec9722504f06dd8f9d3151d302dab72440d","f6ba0b6d2f2205a020d57b3bd0ea1b25564db431b82ed4fff7f2e0579ebc5f78","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",9,"internal124","SRA550660_SRS2089635",1138,"mv08q_production",15633706,"4e6a23dbd48ad455928212d6d75b8d038ba4a825098e857f18600e63aae947a0","0bdbb3f63962b3a977a7291a78d26c7a50df6541003b945dddd1a138bdab8fb0","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",10,"internal124","SRA550660_SRS2089636",930,"mv08q_production",15633706,"e37a051a86ac589f445a7bd9f97b5b97c8f83576ba977c14c5363cc74b649d45","206414ec8a0a9e4bdb71aa32248be92c00eed534b6bc616376b03dd44ff4990b","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",11,"internal124","SRA550660_SRS2089637",9071,"mv08q_production",15633759,"53d2b6df871e90f0bbc38c9d97befb61be26debf51f5d16f845c3d2428b884ec","4a96372dc19cf251964508d72993aefbb5a4f2daf29861f9b211e662ad0daa6d","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",12,"internal124","SRA550660_SRS2089638",1210,"mv08q_production",15633706,"80ebcb4db28f2bb0499e8acba429a3719cb4dc74fd9374b363e8c0a2458915c2","2e148ef14289359aaa5cdff6b9fb9d5ba921b9cf5f4b0f8d483d7c335303ccf7","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",13,"internal124","SRA550660_SRS2089639",8839,"mv08q_production",15633759,"5bd4914ab42f20be7e0dda26f7b2c22b5279c340a06637879477610d87049840","015c4e9674a63e050b6115b01378ed5f73d694fffaf240a1d1ba84178e85e6fb","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",14,"internal124","SRA621638_SRS2610283",1177,"mv08q_production",15641386,"682abb721161e61f225eb203f9a4d698dbaff7a4b2aff3c9412396268cd4f00d","43e7f18e54d903a11276290b74e61412f6d922fb5c1754f4da813a35bf246f9e","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",15,"internal124","SRA621638_SRS2610285",832,"mv08q_production",15641386,"34b1ccecd53cde69a16a9a0f762ce81911a600e7f5e7ceb29b6b49396a6f3165","f4da3e2d29f40dec0efb6d71b76d29256878844e82bd573a122d0c415aea677a","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",16,"internal124","SRA628554_SRS2664364",3410,"mv08q_production",15641386,"29916a33c59ac77d5ac5bb5c3f1dd2b507c80392e46d53f6895a72b3ae42d72e","1953cf30eee45f1ae592210572ba0bdcfd712669bc276ba72af06e9c8cdfcee2","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",17,"internal124","SRA628554_SRS2664365",3141,"mv08q_production",15641386,"f76c2c049f9460d33ae953b837ba032f829f86a286dbb50c805c057295e99e3d","cfee05e6eea88f4969f6a70790069234577a9bc0db1cfd2cd6cb1017833b2416","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",18,"internal124","SRA645804_SRS2823404",4205,"mv08q_production",15641386,"d99d63cfb7bf593eff72c7a58a331478ae742bf14acacc718c665ac8df4b822c","f278427003978dfbc17134af2a5ad1d061167633d6666e232cdf3eb56e478ab0","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",19,"internal124","SRA645804_SRS2823405",3680,"mv08q_production",15641386,"298c6f09d65608f6de939bf9366d2859ee40d28a46942ef30b8ff52081496936","d6d94d84fcd269fcbd815499cc64452e158f1896abba18d473bad13325740d01","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",20,"internal124","SRA645804_SRS2823406",4297,"mv08q_production",15641386,"14f9f28be3ce7deeec47fdc2c9f142d5a61a7a7dd0d215d92b0478bb17474f52","c5762fb04b3ab0129299be5b9bd1528dfc6920a96fe5a9b562bdbfa55c886f53","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",21,"internal124","SRA645804_SRS2823407",2708,"mv08q_production",15641386,"07a278356db7e59da6ab09c52e0c8d34b174b82bbe766b876a15a9b17ad308c7","4d30b098514afc5796588ebd2c0b0350b449726eac2b6845eec44aa686cefac8","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",22,"internal124","SRA645804_SRS2823408",3006,"mv08q_production",15641386,"8a1fd7aa3581ecef72133fbdef769c5726a15dd2301b8440ec8ceff176ca8656","5179351fdf69da7e5f7151b96ab75a0af84e6a0bcee7ba3e0276a91dc176474a","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",23,"internal124","SRA645804_SRS2823409",3897,"mv08q_production",15641386,"4986d81214d04e17df72e9663227f80c36c85e2d2b97af1c266bb8c6bb756e07","8a13d646ec8fbb16b68671e1f51228c49b699a8440d838e2a21827b3a8ca490b","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",24,"internal124","SRA645804_SRS2823410",3561,"mv08q_production",15641386,"647eb2d214b1fca0aa96f8593d25c6356b2a196e74de28f0bf61851212e466b5","e395c7bbe103ee1b373f2c70e5cc2c44b759c8e50bdc0bc325b8aaea7d4232e8","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",25,"internal124","SRA645804_SRS2823411",1031,"mv08q_production",15641386,"6268a0a455fa9abd15ffdfdf29b0f93345c1380dec9da8ddfe0efdcc7f81f898","292bc0e52ca6819e66990c718300d420f8adaab8d5c5b9e9b3901ba8267fe682","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",26,"internal124","SRA645804_SRS2823412",3846,"mv08q_production",15641386,"93596ecd19635a2164dbf0eed9a208d1398dc69568ac7430ab7870d22ce471d0","d5e51bfd89fcbda4ccb9d109a160fede3b737e1b766e227c411862d21edebd24","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",27,"internal124","SRA645804_SRS3572594",4035,"mv08q_production",15641386,"25a0e0e146c1f95e3d0cfbbe4a9c54101f685cd0e158b1c8650607a548fe5133","6a70ac67e00eb298dcae4c09d7eb8b9a43ab350e71fc993caa61097314da6f59","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",28,"internal124","SRA667709_SRS3065426",1118,"mv08q_production",15641386,"23fb59902494e3da996f03bbf5678e9ac7a294a045c6416452ce068b6837150a","05c691a67d3985a1937265358e6f8405bbfbbd3dee5ede04648f51794a007b60","runtime_argument_only_not_public","closed",FALSE
