"execution_head","catalog_order","stack_id","representation_id","panel_id","seed","homology_dimension","payload_set_sha256","pair_axis_sha256","contract_id","method_id","k","mean_silhouette","median_silhouette","minimum_silhouette","negative_silhouette_fraction","minimum_cluster_size","maximum_cluster_size","singleton_clusters","outcome_label_state","biological_outcomes_computed","selected_k"
"06c0dd6c129d8567651081156272cfe972e52c7d",23,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"H1","6e22dee12143adfa9b991238e1193da1f44e0aa9361572211bbbdd44220d1296","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",4,0.271426954231215,0.308768706093782,-0.0863143203019964,0.0725806451612903,16,53,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",23,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"H1","6e22dee12143adfa9b991238e1193da1f44e0aa9361572211bbbdd44220d1296","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",5,0.241834108985086,0.252493652123448,-0.125169255080428,0.0403225806451613,12,41,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",23,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"H1","6e22dee12143adfa9b991238e1193da1f44e0aa9361572211bbbdd44220d1296","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",6,0.242202547355696,0.263942892463166,-0.110498563105028,0.0645161290322581,11,43,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",23,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"H1","6e22dee12143adfa9b991238e1193da1f44e0aa9361572211bbbdd44220d1296","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",7,0.215248736536867,0.222185631712641,-0.150210514667575,0.0645161290322581,10,31,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",23,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"H1","6e22dee12143adfa9b991238e1193da1f44e0aa9361572211bbbdd44220d1296","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",8,0.194338474807265,0.187686062692803,-0.102366241697599,0.0967741935483871,10,27,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",23,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"H1","6e22dee12143adfa9b991238e1193da1f44e0aa9361572211bbbdd44220d1296","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",9,0.176837395890876,0.165114629955891,-0.102366241697599,0.137096774193548,10,17,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",23,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"H1","6e22dee12143adfa9b991238e1193da1f44e0aa9361572211bbbdd44220d1296","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",10,0.169404740156834,0.154949874546389,-0.171825276307082,0.137096774193548,1,17,1,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",25,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"H0","c6aa31284b9db2cbbf23bbe0a28f34e65a53bd3d28b5b24837e85a252c4ba0af","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",2,0.558751823315482,0.644899170593525,-0.00432224774199407,0.00806451612903226,33,91,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",25,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"H0","c6aa31284b9db2cbbf23bbe0a28f34e65a53bd3d28b5b24837e85a252c4ba0af","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",3,0.488069564703755,0.55365774774149,-0.0625897210311116,0.0161290322580645,27,52,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",25,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"H0","c6aa31284b9db2cbbf23bbe0a28f34e65a53bd3d28b5b24837e85a252c4ba0af","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",4,0.431149689481916,0.494834787466714,-0.0386141974145729,0.0161290322580645,25,35,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",25,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"H0","c6aa31284b9db2cbbf23bbe0a28f34e65a53bd3d28b5b24837e85a252c4ba0af","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",5,0.435134955872852,0.494339289190858,-0.0386141974145729,0.0241935483870968,7,35,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",25,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"H0","c6aa31284b9db2cbbf23bbe0a28f34e65a53bd3d28b5b24837e85a252c4ba0af","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",6,0.350782293026184,0.422667615519618,-0.108824158644164,0.0887096774193548,7,30,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",25,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"H0","c6aa31284b9db2cbbf23bbe0a28f34e65a53bd3d28b5b24837e85a252c4ba0af","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",7,0.354711951968166,0.404239017904625,-0.0587107989879191,0.0483870967741935,5,27,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",25,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"H0","c6aa31284b9db2cbbf23bbe0a28f34e65a53bd3d28b5b24837e85a252c4ba0af","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",8,0.327036026931042,0.339801843910629,-0.135697229948049,0.0403225806451613,7,18,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",25,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"H0","c6aa31284b9db2cbbf23bbe0a28f34e65a53bd3d28b5b24837e85a252c4ba0af","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",9,0.338758822655608,0.331053752567613,-0.135697229948049,0.0241935483870968,4,18,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",25,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"H0","c6aa31284b9db2cbbf23bbe0a28f34e65a53bd3d28b5b24837e85a252c4ba0af","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",10,0.297803727759372,0.312221191244993,-0.228572580225111,0.032258064516129,4,18,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",26,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"H1","467634383e4eb482e1960f24f0d7d8bbd387351166484d21b7d472f25a6ed469","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",2,0.317387647742211,0.361964574403865,-0.190804124510963,0.0645161290322581,57,67,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",26,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"H1","467634383e4eb482e1960f24f0d7d8bbd387351166484d21b7d472f25a6ed469","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",3,0.311614302812271,0.360396078934845,-0.0730143774685791,0.0483870967741935,28,55,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",26,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"H1","467634383e4eb482e1960f24f0d7d8bbd387351166484d21b7d472f25a6ed469","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",4,0.283725162300023,0.303232593263466,-0.0227840554203125,0.0403225806451613,23,47,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",26,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"H1","467634383e4eb482e1960f24f0d7d8bbd387351166484d21b7d472f25a6ed469","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",5,0.269936936891661,0.301942542710213,-0.0651690959521787,0.0483870967741935,16,36,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",26,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"H1","467634383e4eb482e1960f24f0d7d8bbd387351166484d21b7d472f25a6ed469","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",6,0.25267722210425,0.269197012847704,-0.0651690959521787,0.0403225806451613,15,27,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",26,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"H1","467634383e4eb482e1960f24f0d7d8bbd387351166484d21b7d472f25a6ed469","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",7,0.233818356840388,0.257578893760618,-0.255482516145862,0.0645161290322581,9,27,0,"closed",FALSE,3
