"contract_id","stack_id","homology_dimension","k","method_pair_id","method_pair_label","seeds","median_adjusted_rand","minimum_adjusted_rand","maximum_adjusted_rand","outcome_label_state","biological_outcomes_computed","representation_label"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",6,"hclust_average_v1__hclust_single_diagnostic_v1","Average linkage vs Single linkage (diagnostic)",5,0.3001093714961,0.0599182013291159,0.463243401502196,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",7,"hclust_average_v1__hclust_single_diagnostic_v1","Average linkage vs Single linkage (diagnostic)",5,0.313672229113009,0.0612793838570751,0.464648284198448,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",8,"hclust_average_v1__hclust_single_diagnostic_v1","Average linkage vs Single linkage (diagnostic)",5,0.280883132914049,0.254372482109155,0.331521698480191,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",9,"hclust_average_v1__hclust_single_diagnostic_v1","Average linkage vs Single linkage (diagnostic)",5,0.281656664654144,0.245048267805469,0.318668735435021,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",10,"hclust_average_v1__hclust_single_diagnostic_v1","Average linkage vs Single linkage (diagnostic)",5,0.26044404287432,0.237677482609894,0.331332234501153,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",2,"hclust_complete_v1__pam_dissimilarity_v1","Complete linkage vs PAM (primary)",5,0.895147258090334,0.771050376003848,0.929065030050678,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",3,"hclust_complete_v1__pam_dissimilarity_v1","Complete linkage vs PAM (primary)",5,0.726931734224423,0.33942698029352,0.921910697477582,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",4,"hclust_complete_v1__pam_dissimilarity_v1","Complete linkage vs PAM (primary)",5,0.608970328844425,0.301780720106654,0.713740926167261,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",5,"hclust_complete_v1__pam_dissimilarity_v1","Complete linkage vs PAM (primary)",5,0.59359383904131,0.479358970119337,0.939953032154501,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",6,"hclust_complete_v1__pam_dissimilarity_v1","Complete linkage vs PAM (primary)",5,0.683198051490975,0.538152196149863,0.83344521155019,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",7,"hclust_complete_v1__pam_dissimilarity_v1","Complete linkage vs PAM (primary)",5,0.532915688303194,0.450252432759754,0.666198501872659,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",8,"hclust_complete_v1__pam_dissimilarity_v1","Complete linkage vs PAM (primary)",5,0.492031125990519,0.385697446259448,0.599489111778588,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",9,"hclust_complete_v1__pam_dissimilarity_v1","Complete linkage vs PAM (primary)",5,0.551654425796206,0.472497387395501,0.638949315270309,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",10,"hclust_complete_v1__pam_dissimilarity_v1","Complete linkage vs PAM (primary)",5,0.560799785397094,0.450503055696405,0.735738944431776,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",2,"hclust_complete_v1__hclust_single_diagnostic_v1","Complete linkage vs Single linkage (diagnostic)",5,0.21213582202631,0.08708778689617,0.21213582202631,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",3,"hclust_complete_v1__hclust_single_diagnostic_v1","Complete linkage vs Single linkage (diagnostic)",5,0.114945187556746,0.0460351132260692,0.448626133202877,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",4,"hclust_complete_v1__hclust_single_diagnostic_v1","Complete linkage vs Single linkage (diagnostic)",5,0.164149660379159,0.0928616388111003,0.477335699167266,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",5,"hclust_complete_v1__hclust_single_diagnostic_v1","Complete linkage vs Single linkage (diagnostic)",5,0.329126958226035,0.0623785307833972,0.472174466511403,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",6,"hclust_complete_v1__hclust_single_diagnostic_v1","Complete linkage vs Single linkage (diagnostic)",5,0.301336867720905,0.0500967552818686,0.311043080934989,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",7,"hclust_complete_v1__hclust_single_diagnostic_v1","Complete linkage vs Single linkage (diagnostic)",5,0.298471739376045,0.0475129970062825,0.314338561421271,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",8,"hclust_complete_v1__hclust_single_diagnostic_v1","Complete linkage vs Single linkage (diagnostic)",5,0.291490047392567,0.227545621721671,0.303713774766127,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",9,"hclust_complete_v1__hclust_single_diagnostic_v1","Complete linkage vs Single linkage (diagnostic)",5,0.199263059094885,0.161717770919735,0.229199945873158,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",10,"hclust_complete_v1__hclust_single_diagnostic_v1","Complete linkage vs Single linkage (diagnostic)",5,0.171362260920576,0.156846075902455,0.231272114831342,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",2,"diana_dissimilarity_v1__hclust_average_v1","DIANA vs Average linkage",5,0.929065030050678,0.895147258090334,1,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",3,"diana_dissimilarity_v1__hclust_average_v1","DIANA vs Average linkage",5,0.876698827310346,0.398178624911833,0.933252235350128,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",4,"diana_dissimilarity_v1__hclust_average_v1","DIANA vs Average linkage",5,0.417492172254245,0.385857332250305,0.766820072371993,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",5,"diana_dissimilarity_v1__hclust_average_v1","DIANA vs Average linkage",5,0.76959269121962,0.3384204408857,0.920221205782583,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",6,"diana_dissimilarity_v1__hclust_average_v1","DIANA vs Average linkage",5,0.585124860047391,0.434091474671767,0.786020124362041,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",7,"diana_dissimilarity_v1__hclust_average_v1","DIANA vs Average linkage",5,0.572660920282681,0.445254503684436,0.695469540365061,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",8,"diana_dissimilarity_v1__hclust_average_v1","DIANA vs Average linkage",5,0.58268979090982,0.459814061345345,0.680565930468572,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",9,"diana_dissimilarity_v1__hclust_average_v1","DIANA vs Average linkage",5,0.45400318887618,0.449207398287846,0.674885991873011,"closed",FALSE,"Historical selected-fit data"
"mv10g_method_agreement_summary_v1","existing_selectedfit_data_exact500","H0",10,"diana_dissimilarity_v1__hclust_average_v1","DIANA vs Average linkage",5,0.457618515022491,0.430009620205141,0.626967453376262,"closed",FALSE,"Historical selected-fit data"
