"contract_id","stack_id","homology_dimension","method_id","k","seeds","median_mean_silhouette","minimum_mean_silhouette","maximum_mean_silhouette","median_negative_silhouette_fraction","median_minimum_cluster_size","median_maximum_cluster_size","median_singleton_clusters","outcome_label_state","biological_outcomes_computed","representation_label","method_label"
"mv10g_quality_summary_v1","existing_selectedfit_data_exact500","H0","hclust_complete_v1",7,5,0.329283474664811,0.307277805336965,0.369963253496571,0.0887096774193548,4,47,0,"closed",FALSE,"Historical selected-fit data","Complete linkage"
"mv10g_quality_summary_v1","existing_selectedfit_data_exact500","H0","hclust_complete_v1",8,5,0.342452342040853,0.268631903691159,0.388539486685586,0.0967741935483871,4,47,0,"closed",FALSE,"Historical selected-fit data","Complete linkage"
"mv10g_quality_summary_v1","existing_selectedfit_data_exact500","H0","hclust_complete_v1",9,5,0.307048558339111,0.234727478841114,0.327779864422994,0.104838709677419,4,32,0,"closed",FALSE,"Historical selected-fit data","Complete linkage"
"mv10g_quality_summary_v1","existing_selectedfit_data_exact500","H0","hclust_complete_v1",10,5,0.317864601398014,0.241462107817545,0.340609410535984,0.0806451612903226,3,29,0,"closed",FALSE,"Historical selected-fit data","Complete linkage"
"mv10g_quality_summary_v1","existing_selectedfit_data_exact500","H0","hclust_single_diagnostic_v1",2,5,0.569361720276628,0.558052466412893,0.583213307528736,0.0967741935483871,5,119,0,"closed",FALSE,"Historical selected-fit data","Single linkage (diagnostic)"
"mv10g_quality_summary_v1","existing_selectedfit_data_exact500","H0","hclust_single_diagnostic_v1",3,5,0.526026442691185,0.504160557312055,0.581131767828301,0.120967741935484,2,119,0,"closed",FALSE,"Historical selected-fit data","Single linkage (diagnostic)"
"mv10g_quality_summary_v1","existing_selectedfit_data_exact500","H0","hclust_single_diagnostic_v1",4,5,0.524160068817613,0.217915736499838,0.569711650783033,0.112903225806452,1,118,1,"closed",FALSE,"Historical selected-fit data","Single linkage (diagnostic)"
"mv10g_quality_summary_v1","existing_selectedfit_data_exact500","H0","hclust_single_diagnostic_v1",5,5,0.422729855399391,0.062223642369097,0.55248026745532,0.112903225806452,1,98,2,"closed",FALSE,"Historical selected-fit data","Single linkage (diagnostic)"
"mv10g_quality_summary_v1","existing_selectedfit_data_exact500","H0","hclust_single_diagnostic_v1",6,5,0.374489741216237,0.0503244882439487,0.442211428672424,0.137096774193548,1,98,3,"closed",FALSE,"Historical selected-fit data","Single linkage (diagnostic)"
"mv10g_quality_summary_v1","existing_selectedfit_data_exact500","H0","hclust_single_diagnostic_v1",7,5,0.370535553732576,0.0453084623519498,0.437000411600805,0.137096774193548,1,98,4,"closed",FALSE,"Historical selected-fit data","Single linkage (diagnostic)"
"mv10g_quality_summary_v1","existing_selectedfit_data_exact500","H0","hclust_single_diagnostic_v1",8,5,0.290880695682438,0.220602101998235,0.36560311920367,0.161290322580645,1,97,5,"closed",FALSE,"Historical selected-fit data","Single linkage (diagnostic)"
"mv10g_quality_summary_v1","existing_selectedfit_data_exact500","H0","hclust_single_diagnostic_v1",9,5,0.288980564471511,0.196449916947563,0.364339487964215,0.161290322580645,1,97,7,"closed",FALSE,"Historical selected-fit data","Single linkage (diagnostic)"
"mv10g_quality_summary_v1","existing_selectedfit_data_exact500","H0","hclust_single_diagnostic_v1",10,5,0.26351611600444,0.219437214651171,0.290485978042427,0.193548387096774,1,97,7,"closed",FALSE,"Historical selected-fit data","Single linkage (diagnostic)"
"mv10g_quality_summary_v1","existing_selectedfit_data_exact500","H0","diana_dissimilarity_v1",2,5,0.618874281501679,0.610976518212084,0.631087706428757,0,28,96,0,"closed",FALSE,"Historical selected-fit data","DIANA"
"mv10g_quality_summary_v1","existing_selectedfit_data_exact500","H0","diana_dissimilarity_v1",3,5,0.571422948518181,0.472229850045826,0.584468581716659,0.0241935483870968,5,96,0,"closed",FALSE,"Historical selected-fit data","DIANA"
"mv10g_quality_summary_v1","existing_selectedfit_data_exact500","H0","diana_dissimilarity_v1",4,5,0.478024542615979,0.457438086439716,0.481018342978455,0.0161290322580645,5,56,0,"closed",FALSE,"Historical selected-fit data","DIANA"
"mv10g_quality_summary_v1","existing_selectedfit_data_exact500","H0","diana_dissimilarity_v1",5,5,0.40839376384729,0.39955080409238,0.428297082082871,0.0403225806451613,5,56,0,"closed",FALSE,"Historical selected-fit data","DIANA"
"mv10g_quality_summary_v1","existing_selectedfit_data_exact500","H0","diana_dissimilarity_v1",6,5,0.346743169556866,0.334912398727612,0.37780984090103,0.0725806451612903,5,56,0,"closed",FALSE,"Historical selected-fit data","DIANA"
"mv10g_quality_summary_v1","existing_selectedfit_data_exact500","H0","diana_dissimilarity_v1",7,5,0.342551354723839,0.322332886085201,0.357175733977452,0.0161290322580645,5,35,0,"closed",FALSE,"Historical selected-fit data","DIANA"
"mv10g_quality_summary_v1","existing_selectedfit_data_exact500","H0","diana_dissimilarity_v1",8,5,0.321313877395606,0.304958871565205,0.362401347973338,0.032258064516129,4,35,0,"closed",FALSE,"Historical selected-fit data","DIANA"
"mv10g_quality_summary_v1","existing_selectedfit_data_exact500","H0","diana_dissimilarity_v1",9,5,0.31105236590069,0.297634050446936,0.34843092948984,0.0645161290322581,4,33,0,"closed",FALSE,"Historical selected-fit data","DIANA"
"mv10g_quality_summary_v1","existing_selectedfit_data_exact500","H0","diana_dissimilarity_v1",10,5,0.311796036811968,0.284847204479803,0.341982490370106,0.0645161290322581,1,33,1,"closed",FALSE,"Historical selected-fit data","DIANA"
"mv10g_quality_summary_v1","existing_selectedfit_data_exact500","H1","pam_dissimilarity_v1",2,5,0.358933819315175,0.347327590123226,0.366945074809343,0.00806451612903226,50,74,0,"closed",FALSE,"Historical selected-fit data","PAM (primary)"
"mv10g_quality_summary_v1","existing_selectedfit_data_exact500","H1","pam_dissimilarity_v1",3,5,0.307257941585376,0.295166085918479,0.323590870210835,0.0403225806451613,32,52,0,"closed",FALSE,"Historical selected-fit data","PAM (primary)"
"mv10g_quality_summary_v1","existing_selectedfit_data_exact500","H1","pam_dissimilarity_v1",4,5,0.240657746981644,0.225014605140217,0.29821598177384,0.0483870967741935,23,39,0,"closed",FALSE,"Historical selected-fit data","PAM (primary)"
