"endpoint_id","population_id","label_axis","stack_id","homology_dimension","metric_id","values","method_minimum","method_median","method_maximum","method_range"
"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H1","normalized_mutual_information_max",5,0.0206895287961531,0.180360703104726,0.207370470123486,0.186680941327333
"full124_descriptive__tissue","full124_descriptive","tissue","existing_selectedfit_data_exact500","H0","adjusted_rand_index",5,-0.00648605103342684,0.0457144452218839,0.0478788326729611,0.0543648837063879
"full124_descriptive__tissue","full124_descriptive","tissue","existing_selectedfit_data_exact500","H0","normalized_mutual_information_max",5,0.0286795676424627,0.109262218878589,0.110088879041323,0.0814093113988603
"full124_descriptive__tissue","full124_descriptive","tissue","existing_selectedfit_data_exact500","H1","adjusted_rand_index",5,0.00557885602673451,0.0800929808569317,0.111747706502212,0.106168850475477
"full124_descriptive__tissue","full124_descriptive","tissue","existing_selectedfit_data_exact500","H1","normalized_mutual_information_max",5,0.0212870456394428,0.163156788750375,0.206849702486827,0.185562656847384
"primary90_context_restriction__study","primary90_context_restriction","study","allqc_data_exact500","H0","adjusted_rand_index",5,0.0154997452363079,0.103354988707374,0.105436391918045,0.0899366466817371
"primary90_context_restriction__study","primary90_context_restriction","study","allqc_data_exact500","H0","normalized_mutual_information_max",5,0.0580413767581679,0.159544398477475,0.166496635217342,0.108455258459174
"primary90_context_restriction__study","primary90_context_restriction","study","allqc_data_exact500","H1","adjusted_rand_index",5,0.0041147726503281,0.085271872734217,0.151003318519666,0.146888545869338
"primary90_context_restriction__study","primary90_context_restriction","study","allqc_data_exact500","H1","normalized_mutual_information_max",5,0.0181837345493135,0.207020033829571,0.251055089793054,0.232871355243741
"primary90_context_restriction__study","primary90_context_restriction","study","allqc_residual_exact500","H0","adjusted_rand_index",5,0.00213714288931351,0.0987906988721958,0.0999044851565686,0.0977673422672551
"primary90_context_restriction__study","primary90_context_restriction","study","allqc_residual_exact500","H0","normalized_mutual_information_max",5,0.0144648604656848,0.155475981077062,0.163343086802956,0.148878226337271
"primary90_context_restriction__study","primary90_context_restriction","study","allqc_residual_exact500","H1","adjusted_rand_index",5,0.00571857972590334,0.0968764457365093,0.197064739281094,0.191346159555191
"primary90_context_restriction__study","primary90_context_restriction","study","allqc_residual_exact500","H1","normalized_mutual_information_max",5,0.0319365566555808,0.197380066237499,0.269623523461203,0.237686966805622
"primary90_context_restriction__study","primary90_context_restriction","study","existing_selectedfit_data_exact500","H0","adjusted_rand_index",5,0.0129472973887245,0.10371277331586,0.105436391918045,0.0924890945293205
"primary90_context_restriction__study","primary90_context_restriction","study","existing_selectedfit_data_exact500","H0","normalized_mutual_information_max",5,0.0507344806868434,0.162714602405907,0.166496635217342,0.115762154530499
"primary90_context_restriction__study","primary90_context_restriction","study","existing_selectedfit_data_exact500","H1","adjusted_rand_index",5,0.00169185104273885,0.0854886224784415,0.147019084569322,0.145327233526583
"primary90_context_restriction__study","primary90_context_restriction","study","existing_selectedfit_data_exact500","H1","normalized_mutual_information_max",5,0.013251557255046,0.206032609663953,0.250725037107709,0.237473479852663
"primary90_context_restriction__tissue","primary90_context_restriction","tissue","allqc_data_exact500","H0","adjusted_rand_index",5,-0.00621388097800851,0.110649088231321,0.112713029487093,0.118926910465102
