"contract_id","stratum_id","weight_id","gene_weight","cell_weight","first_sample_id","second_sample_id","distance"
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_000",0,1,"GSM3396176_P.RData","GSM3396179_S1.RData",1.07983853314433
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_025",0.25,0.75,"GSM3396163_C1.RData","GSM3396169_H.RData",1.13831608127362
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_025",0.25,0.75,"GSM3396163_C1.RData","GSM3396176_P.RData",0.891011986204167
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_025",0.25,0.75,"GSM3396163_C1.RData","GSM3396179_S1.RData",0.879327512912828
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_025",0.25,0.75,"GSM3396169_H.RData","GSM3396176_P.RData",0.963677314237335
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_025",0.25,0.75,"GSM3396169_H.RData","GSM3396179_S1.RData",1.08917488800974
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_025",0.25,0.75,"GSM3396176_P.RData","GSM3396179_S1.RData",1.05775473247244
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_050",0.5,0.5,"GSM3396163_C1.RData","GSM3396169_H.RData",1.11648674370738
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_050",0.5,0.5,"GSM3396163_C1.RData","GSM3396176_P.RData",1.01635333006513
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_050",0.5,0.5,"GSM3396163_C1.RData","GSM3396179_S1.RData",0.838493558969991
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_050",0.5,0.5,"GSM3396169_H.RData","GSM3396176_P.RData",1.0960492053884
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_050",0.5,0.5,"GSM3396169_H.RData","GSM3396179_S1.RData",1.00069284492961
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_050",0.5,0.5,"GSM3396176_P.RData","GSM3396179_S1.RData",1.03567093180055
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_075",0.75,0.25,"GSM3396163_C1.RData","GSM3396169_H.RData",1.09465740614113
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_075",0.75,0.25,"GSM3396163_C1.RData","GSM3396176_P.RData",1.14169467392609
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_075",0.75,0.25,"GSM3396163_C1.RData","GSM3396179_S1.RData",0.797659605027154
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_075",0.75,0.25,"GSM3396169_H.RData","GSM3396176_P.RData",1.22842109653946
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_075",0.75,0.25,"GSM3396169_H.RData","GSM3396179_S1.RData",0.912210801849487
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_075",0.75,0.25,"GSM3396176_P.RData","GSM3396179_S1.RData",1.01358713112866
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_100",1,0,"GSM3396163_C1.RData","GSM3396169_H.RData",1.07282806857489
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_100",1,0,"GSM3396163_C1.RData","GSM3396176_P.RData",1.26703601778705
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_100",1,0,"GSM3396163_C1.RData","GSM3396179_S1.RData",0.756825651084317
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_100",1,0,"GSM3396169_H.RData","GSM3396176_P.RData",1.36079298769053
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_100",1,0,"GSM3396169_H.RData","GSM3396179_S1.RData",0.823728758769359
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_100",1,0,"GSM3396176_P.RData","GSM3396179_S1.RData",0.991503330456762
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA645804_SRS2823407","SRA701877_SRS3279684",0.91433909231937
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA645804_SRS2823407","SRA701877_SRS3279688",0.964163025359874
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA645804_SRS2823407","SRA716608_SRS3391629",1.53238462175855
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA645804_SRS2823407","SRA728025_SRS3454425",0.943983828006988
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA645804_SRS2823407","SRA742961_SRS3565197",0.698168381617321
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA645804_SRS2823407","SRA742961_SRS3565203",0.848583585349889
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA645804_SRS2823407","SRA749327_SRS3693910",0.946959563640771
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA645804_SRS2823407","SRA779509_SRS3805254",0.635888261229476
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA645804_SRS2823407","SRA850958_SRS4386111",2.67857990027218
