"contract_id","stratum_id","matrix_id","sample_count","minimum","maximum","sha256"
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","fusion_gene_weight_000",10,0,2.67857990027218,"d6cdc08f5d095d0bb42a14c98c4802478710a34dfa14eeb3ce92dc236bc966d1"
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","fusion_gene_weight_025",10,0,2.53345722800753,"76dd3061a6d05d98c727b937998222b68a3eb9dbfd98cf23f37122ad3eb3fa2c"
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","fusion_gene_weight_050",10,0,2.38833455574288,"3ae56c8d25373e06162b68b4546fbc36c2ee20ff9935a62b2519fcaf8e013ef2"
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","fusion_gene_weight_075",10,0,2.24321188347823,"ab6564ae8f9f78fdfa17748e3fcf2cfbd30d6854b3053f4a21a6e58c09b2fbf8"
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","fusion_gene_weight_100",10,0,2.19379635358387,"8e4127fe9c6892b820d63a7367a05dd64c687dc33210aa2289adc674f61e9b98"
"mv06a_label_closed_fusion_feasibility_v1","large__seurat_integration","normalized_cell_H0",10,0,2.05984925582616,"5f4c783116572081da61a201b432e1070902d13394d9f38392e0d701aef3225d"
"mv06a_label_closed_fusion_feasibility_v1","large__seurat_integration","normalized_cell_H1",10,0,1.58184989171729,"f64d9efc974677bb27c9bf339a3cf3e143fb456dd85338f5b6f1d07edebdf170"
"mv06a_label_closed_fusion_feasibility_v1","large__seurat_integration","normalized_gene_H0",10,0,3.2073478732464,"6d651956e93d88f5f56d8e55bdf83804aed500e8c1b9e9ce7346366d7b83adf9"
"mv06a_label_closed_fusion_feasibility_v1","large__seurat_integration","normalized_gene_H1",10,0,2.24231116446124,"8e6e535d64ddb681569f42b46a671184465339e9a71e10c2fe734f2779d11683"
"mv06a_label_closed_fusion_feasibility_v1","large__seurat_integration","composite_cell",10,0,1.73235091766895,"532b45d3b22d47be0ff4e90dbea171a37aafc951d9a1f74ec6e955b07eafc066"
"mv06a_label_closed_fusion_feasibility_v1","large__seurat_integration","composite_gene",10,0,2.58830239477492,"247fa1ace9ab96a932dda4b0485ef4e18ed553455ec4afbf8692f491e838984a"
"mv06a_label_closed_fusion_feasibility_v1","large__seurat_integration","fusion_gene_weight_000",10,0,1.73235091766895,"532b45d3b22d47be0ff4e90dbea171a37aafc951d9a1f74ec6e955b07eafc066"
"mv06a_label_closed_fusion_feasibility_v1","large__seurat_integration","fusion_gene_weight_025",10,0,1.72250046801058,"d7b004d68b0406b342193bf7563b40badd8da9aa6aed20fb49f243b6bed0d6a4"
"mv06a_label_closed_fusion_feasibility_v1","large__seurat_integration","fusion_gene_weight_050",10,0,1.95236017008102,"f11045ba766db8ea816aefeae42ab815efd4279ea905a1ef77ec8df8d961bee3"
"mv06a_label_closed_fusion_feasibility_v1","large__seurat_integration","fusion_gene_weight_075",10,0,2.27033128242797,"2e893efcf154e2bf6eee314bdcbb513bfbfd5740e55114522d4463972ba38d10"
"mv06a_label_closed_fusion_feasibility_v1","large__seurat_integration","fusion_gene_weight_100",10,0,2.58830239477492,"247fa1ace9ab96a932dda4b0485ef4e18ed553455ec4afbf8692f491e838984a"
