"contract_id","stratum_id","first_sample_id","second_sample_id","cell_H0","cell_H1","gene_H0","gene_H1","cell_composite","gene_composite","equal_weight_fusion","cell_H0_contribution","cell_H1_contribution","gene_H0_contribution","gene_H1_contribution"
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","GSM3396163_C1.RData","GSM3396169_H.RData",1.36674661805037,1.63131497458592,0.607995608384241,1.00464345134171,1.49903079631814,0.806319529862974,1.15267516309056,0.341686654512593,0.407828743646479,0.15199890209606,0.251160862835427
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","GSM3396163_C1.RData","GSM3396176_P.RData",0.396992601439619,1.21506331063956,1.32425354401237,1.00677536394603,0.806027956039589,1.1655144539792,0.985771205009395,0.0992481503599048,0.30376582765989,0.331063386003093,0.251693840986507
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","GSM3396163_C1.RData","GSM3396179_S1.RData",0.930983574010133,1.48832624242418,0.67574645598763,1.05841610234606,1.20965490821716,0.867081279166847,1.038368093692,0.232745893502533,0.372081560606044,0.168936613996907,0.264604025586516
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","GSM3396169_H.RData","GSM3396176_P.RData",1.42272912899241,0.784936689360441,1.57925540705069,0.95931963367475,1.10383290917642,1.26928752036272,1.18656021476957,0.355682282248102,0.19623417234011,0.394813851762673,0.239829908418687
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","GSM3396169_H.RData","GSM3396179_S1.RData",0.76051926539595,0.760752021234662,0.447457174341637,0.995356548658293,0.760635643315306,0.721406861499965,0.741021252407635,0.190129816348988,0.190188005308665,0.111864293585409,0.248839137164573
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","GSM3396176_P.RData","GSM3396179_S1.RData",1.06901642598987,0.725137549986886,1.85558182295977,0.989924343488175,0.897076987988377,1.42275308322397,1.15991503560617,0.267254106497467,0.181284387496722,0.463895455739943,0.247481085872044
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","GSM3396163_C1.RData","GSM3396169_H.RData",1.23212371841584,1.0881671192639,0.979781965606537,1.16587417154324,1.16014541883987,1.07282806857489,1.11648674370738,0.308030929603959,0.272041779815975,0.244945491401634,0.29146854288581
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","GSM3396163_C1.RData","GSM3396176_P.RData",0.772528286105218,0.758812998581198,1.49686066209415,1.03721137347994,0.765670642343208,1.26703601778705,1.01635333006513,0.193132071526304,0.189703249645299,0.374215165523538,0.259302843369985
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","GSM3396163_C1.RData","GSM3396179_S1.RData",0.82114878304693,1.0191741506644,0.777657319718351,0.735993982450283,0.920161466855665,0.756825651084317,0.838493558969991,0.205287195761732,0.2547935376661,0.194414329929588,0.183998495612571
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","GSM3396169_H.RData","GSM3396176_P.RData",0.782806035633261,0.879804810539281,1.65436679502254,1.06721918035852,0.831305423086271,1.36079298769053,1.0960492053884,0.195701508908315,0.21995120263482,0.413591698755635,0.266804795089629
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","GSM3396169_H.RData","GSM3396179_S1.RData",1.22561432725927,1.12969953492047,0.720759268352129,0.926698249186589,1.17765693108987,0.823728758769359,1.00069284492961,0.306403581814819,0.282424883730117,0.180189817088032,0.231674562296647
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","GSM3396176_P.RData","GSM3396179_S1.RData",1.17885121695307,0.9808258493356,1.02021803439346,0.962788626520061,1.07983853314433,0.991503330456762,1.03567093180055,0.294712804238268,0.2452064623339,0.255054508598366,0.240697156630015
