"method_id","endpoint_id","estimate","ci_lower","ci_upper","replicates","seed"
"cell_H0","mean_reciprocal_rank",0.319833456921882,-0.134677412042934,0.584372931605812,2000,20260817
"cell_H0","one_nn_balanced_accuracy",0.208512253275959,-0.272221292162219,0.575998434578577,2000,20260817
"cell_H1","mean_reciprocal_rank",0.239532934701568,-0.37975883412568,0.395999042509832,2000,20260817
"cell_H1","one_nn_balanced_accuracy",0.198511574083759,-0.405032512042108,0.313962668408438,2000,20260817
"gene_H0","mean_reciprocal_rank",-0.144414736061078,-0.514842303850212,0.350382896113369,2000,20260817
"gene_H0","one_nn_balanced_accuracy",-0.22682891339101,-0.531530430894471,0.0636323929008178,2000,20260817
"gene_H1","mean_reciprocal_rank",-0.191247984115537,-0.518070558392404,0.554116302949756,2000,20260817
"gene_H1","one_nn_balanced_accuracy",-0.140754035382048,-0.370635552803768,0.583460920697058,2000,20260817
"cell_composite","mean_reciprocal_rank",0.254234410932502,-0.252366529514099,0.454230924484085,2000,20260817
"cell_composite","one_nn_balanced_accuracy",0.159763265834799,-0.267186175036418,0.322940545028597,2000,20260817
"gene_composite","mean_reciprocal_rank",-0.151014302350014,-0.530914062952074,0.463713266009896,2000,20260817
"gene_composite","one_nn_balanced_accuracy",-0.122406486472516,-0.55238557342563,0.194015586431453,2000,20260817
