"method_id","endpoint_id","deleted_study","estimate","change_from_full"
"gene_H0","mean_reciprocal_rank","SRA667709",0.319204556265802,-0.00465778509521464
"gene_H0","mean_reciprocal_rank","SRA703206",0.324622847473297,0.000760506112280179
"gene_H0","mean_reciprocal_rank","SRA713577",0.318281533280209,-0.00558080808080813
"gene_H0","mean_reciprocal_rank","SRA716608",0.394664101015584,0.070801759654567
"gene_H0","mean_reciprocal_rank","SRA728025",0.322151202608386,-0.00171113875263046
"gene_H0","mean_reciprocal_rank","SRA740174",0.316430661246886,-0.00743168011413109
"gene_H0","mean_reciprocal_rank","SRA749327",0.317751230249906,-0.00611111111111112
"gene_H0","mean_reciprocal_rank","SRA760933",0.309701989430103,-0.0141603519309134
"gene_H0","mean_reciprocal_rank","SRA779509",0.371248404353624,0.0473860629926071
"gene_H0","mean_reciprocal_rank","SRA784242",0.321953747823994,-0.00190859353702272
"gene_H0","mean_reciprocal_rank","SRA826293",0.347530607298448,0.0236682659374316
"gene_H0","one_nn_balanced_accuracy","SRA550660",0.196436251920123,-0.0128571428571428
"gene_H0","one_nn_balanced_accuracy","SRA621638",0.2076026272578,-0.00169076751946606
"gene_H0","one_nn_balanced_accuracy","SRA628554",0.231293394777266,0.022
"gene_H0","one_nn_balanced_accuracy","SRA645804",0.181039426523297,-0.0282539682539683
"gene_H0","one_nn_balanced_accuracy","SRA667709",0.208514173998045,-0.000779220779220768
"gene_H0","one_nn_balanced_accuracy","SRA703206",0.209293394777266,0
"gene_H0","one_nn_balanced_accuracy","SRA713577",0.201111576595448,-0.00818181818181818
"gene_H0","one_nn_balanced_accuracy","SRA716608",0.242626728110599,0.0333333333333334
"gene_H0","one_nn_balanced_accuracy","SRA728025",0.209293394777266,0
"gene_H0","one_nn_balanced_accuracy","SRA740174",0.205661375661376,-0.00363201911589006
"gene_H0","one_nn_balanced_accuracy","SRA749327",0.204293394777266,-0.005
"gene_H0","one_nn_balanced_accuracy","SRA760933",0.202626728110599,-0.00666666666666665
"gene_H0","one_nn_balanced_accuracy","SRA779509",0.233809523809524,0.0245161290322581
"gene_H0","one_nn_balanced_accuracy","SRA784242",0.212150537634409,0.00285714285714286
"gene_H0","one_nn_balanced_accuracy","SRA826293",0.232150537634409,0.0228571428571429
"gene_H1","mean_reciprocal_rank","SRA550660",0.319656370266148,-0.00146277399848832
"gene_H1","mean_reciprocal_rank","SRA621638",0.315569095052678,-0.0055500492119584
"gene_H1","mean_reciprocal_rank","SRA628554",0.310644805640297,-0.0104743386243386
"gene_H1","mean_reciprocal_rank","SRA645804",0.296171253332612,-0.024947890932024
"gene_H1","mean_reciprocal_rank","SRA667709",0.317481088716188,-0.00363805554844815
"gene_H1","mean_reciprocal_rank","SRA703206",0.321100303531591,-1.8840733044756e-05
"gene_H1","mean_reciprocal_rank","SRA713577",0.318782323677815,-0.00233682058682055
"gene_H1","mean_reciprocal_rank","SRA716608",0.345378725028017,0.024259580763381
"gene_H1","mean_reciprocal_rank","SRA728025",0.321161535913987,4.23916493507148e-05
"gene_H1","mean_reciprocal_rank","SRA740174",0.323108119016917,0.00198897475228094
"gene_H1","mean_reciprocal_rank","SRA749327",0.338705123100615,0.0175859788359788
"gene_H1","mean_reciprocal_rank","SRA760933",0.31626722811196,-0.00485191615267616
"gene_H1","mean_reciprocal_rank","SRA779509",0.338993995737171,0.0178748514725349
"gene_H1","mean_reciprocal_rank","SRA784242",0.330500926576178,0.00938178231154241
"gene_H1","mean_reciprocal_rank","SRA826293",0.3363159684329,0.0151968241682638
"gene_H1","one_nn_balanced_accuracy","SRA550660",0.201464019851117,-0.00333333333333335
"gene_H1","one_nn_balanced_accuracy","SRA621638",0.198479221927498,-0.00631813125695219
"gene_H1","one_nn_balanced_accuracy","SRA628554",0.189464019851117,-0.0153333333333333
"gene_H1","one_nn_balanced_accuracy","SRA645804",0.181464019851117,-0.0233333333333333
"gene_H1","one_nn_balanced_accuracy","SRA667709",0.203888262275359,-0.000909090909090915
"gene_H1","one_nn_balanced_accuracy","SRA703206",0.206164874551971,0.00136752136752136
"gene_H1","one_nn_balanced_accuracy","SRA713577",0.201464019851117,-0.00333333333333335
