"contract_id","panel_sha256","panel_order","feature_id","gene","category","median_variance_rank","minimum_variance","finite_cache_count","positive_cache_count","selected_all_cache_core"
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",240,"TAGLN2-ENSG00000158710.14","TAGLN2","retained_candidate",393.5,0.0134036303042481,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",241,"RSL24D1-ENSG00000137876.9","RSL24D1","retained_candidate",394,0.0346932863346612,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",242,"ATP5A1-ENSG00000152234.15","ATP5A1","retained_candidate",395,0.0540471632559387,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",243,"EIF4G2-ENSG00000110321.16","EIF4G2","retained_candidate",396,0.0481965379204176,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",244,"ANP32B-ENSG00000136938.8","ANP32B","retained_candidate",396.5,0.00862105297901799,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",245,"HIGD2A-ENSG00000146066.2","HIGD2A","retained_candidate",397,0.0222122552056692,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",246,"MARCKSL1-ENSG00000175130.6","MARCKSL1","retained_candidate",397,0.0180816704201836,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",247,"NDUFB9-ENSG00000147684.7","NDUFB9","retained_candidate",397.5,0.0726561768015314,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",248,"TSC22D3-ENSG00000157514.16","TSC22D3","retained_candidate",398,0.0170918337196749,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",249,"FKBP2-ENSG00000173486.12","FKBP2","retained_candidate",400,0.0343520660124711,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",250,"TRIR-ENSG00000123144.10","TRIR","retained_candidate",400,0.0145829406966034,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",251,"PRDX5-ENSG00000126432.13","PRDX5","retained_candidate",400.5,0.0776461944521064,620,620,TRUE
