"comparison_order","comparison_id","contrast_family","dataset_scope","panel_id","seed","homology_dimension","left_view","right_view","units","unordered_pairs","pearson","spearman","relative_left_to_right_stress","median_abs_median_scaled_change","p95_abs_median_scaled_change"
27,"mv15:27:cell_gene_view_agreement:H0","cell_gene_view_agreement","internal124","exact500","20260807","H0","cell_topology_v2","gene_topology_v1",124,7626,0.235463660308627,0.213892943324707,0.603750718000806,0.542064216098899,1.77059536869745
28,"mv15:28:cell_gene_view_agreement:H1","cell_gene_view_agreement","internal124","exact500","20260807","H1","cell_topology_v2","gene_topology_v1",124,7626,0.062588503645876,0.0639391614823003,0.47194352270205,0.354731634507126,1.0904041358089
29,"mv15:29:cell_gene_view_agreement:H0","cell_gene_view_agreement","internal124","exact500","20260808","H0","cell_topology_v2","gene_topology_v1",124,7626,0.226593669646006,0.203953501419803,0.606294047880123,0.550547933843803,1.7521659245421
30,"mv15:30:cell_gene_view_agreement:H1","cell_gene_view_agreement","internal124","exact500","20260808","H1","cell_topology_v2","gene_topology_v1",124,7626,0.0129023709029414,0.00855166682972594,0.465058505403121,0.360284653740333,1.04902651370167
31,"mv15:31:cell_gene_view_agreement:H0","cell_gene_view_agreement","internal124","exact500","20260809","H0","cell_topology_v2","gene_topology_v1",124,7626,0.255455410598612,0.233583271559058,0.596810102270766,0.533228246309593,1.72641170675157
32,"mv15:32:cell_gene_view_agreement:H1","cell_gene_view_agreement","internal124","exact500","20260809","H1","cell_topology_v2","gene_topology_v1",124,7626,0.0555106607608021,0.0760754920809837,0.484436906534782,0.361945632157299,1.13365830447851
33,"mv15:33:cell_gene_view_agreement:H0","cell_gene_view_agreement","external8","common475","20260805","H0","cell_topology_v2","gene_topology_v1",8,28,0.636600448299841,0.569786535303777,0.365422268533796,0.262817059335205,0.723031106421403
34,"mv15:34:cell_gene_view_agreement:H1","cell_gene_view_agreement","external8","common475","20260805","H1","cell_topology_v2","gene_topology_v1",8,28,0.366837269017111,0.284072249589491,0.204881376190082,0.17713073140347,0.374270416414383
35,"mv15:35:cell_gene_view_agreement:H0","cell_gene_view_agreement","external8","exact500","20260805","H0","cell_topology_v2","gene_topology_v1",8,28,0.627411550309342,0.585112205801861,0.372883345991508,0.258614084229896,0.736332433867238
36,"mv15:36:cell_gene_view_agreement:H1","cell_gene_view_agreement","external8","exact500","20260805","H1","cell_topology_v2","gene_topology_v1",8,28,0.251047417196474,0.201423097974822,0.199223271459304,0.155897544439981,0.359571435364067
