"comparison_order","comparison_id","contrast_family","dataset_scope","panel_id","seed","homology_dimension","left_view","right_view","units","k","mean_neighbor_jaccard","median_neighbor_jaccard","p10_neighbor_jaccard"
31,"mv15:31:cell_gene_view_agreement:H0","cell_gene_view_agreement","internal124","exact500","20260809","H0","cell_topology_v2","gene_topology_v1",124,10,0.113451818191906,0.111111111111111,0
32,"mv15:32:cell_gene_view_agreement:H1","cell_gene_view_agreement","internal124","exact500","20260809","H1","cell_topology_v2","gene_topology_v1",124,10,0.122478575470935,0.111111111111111,0
33,"mv15:33:cell_gene_view_agreement:H0","cell_gene_view_agreement","external8","common475","20260805","H0","cell_topology_v2","gene_topology_v1",8,2,0.5,0.333333333333333,0
33,"mv15:33:cell_gene_view_agreement:H0","cell_gene_view_agreement","external8","common475","20260805","H0","cell_topology_v2","gene_topology_v1",8,3,0.525,0.5,0.41
34,"mv15:34:cell_gene_view_agreement:H1","cell_gene_view_agreement","external8","common475","20260805","H1","cell_topology_v2","gene_topology_v1",8,2,0.166666666666667,0.166666666666667,0
34,"mv15:34:cell_gene_view_agreement:H1","cell_gene_view_agreement","external8","common475","20260805","H1","cell_topology_v2","gene_topology_v1",8,3,0.45,0.35,0.14
35,"mv15:35:cell_gene_view_agreement:H0","cell_gene_view_agreement","external8","exact500","20260805","H0","cell_topology_v2","gene_topology_v1",8,2,0.5,0.333333333333333,0
35,"mv15:35:cell_gene_view_agreement:H0","cell_gene_view_agreement","external8","exact500","20260805","H0","cell_topology_v2","gene_topology_v1",8,3,0.4625,0.5,0.41
36,"mv15:36:cell_gene_view_agreement:H1","cell_gene_view_agreement","external8","exact500","20260805","H1","cell_topology_v2","gene_topology_v1",8,2,0.291666666666667,0.333333333333333,0
36,"mv15:36:cell_gene_view_agreement:H1","cell_gene_view_agreement","external8","exact500","20260805","H1","cell_topology_v2","gene_topology_v1",8,3,0.45,0.35,0.14
