"contract_id","queue_order","stage","stage_order","sample_id","seed","expected_post_qc_cells","selected_cells","queue_role","outcome_label_state","biological_outcomes_computed","panel_fit","pca","ph","landscape"
"mv07f_upstream_queue_v1",1,"raw",1,"SRA701877_SRS3279684",,1885,,"one_atomic_raw_shard","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",2,"raw",2,"SRA701877_SRS3279685",,943,,"one_atomic_raw_shard","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",3,"raw",3,"SRA701877_SRS3279686",,1632,,"one_atomic_raw_shard","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",4,"raw",4,"SRA701877_SRS3279687",,2106,,"one_atomic_raw_shard","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",5,"raw",5,"SRA701877_SRS3279688",,396,,"one_atomic_raw_shard","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",6,"raw",6,"SRA701877_SRS3279689",,1090,,"one_atomic_raw_shard","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",7,"raw",7,"SRA701877_SRS3279690",,2157,,"one_atomic_raw_shard","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",8,"raw",8,"SRA701877_SRS3279691",,1640,,"one_atomic_raw_shard","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",9,"raw",9,"SRA701877_SRS3279692",,2619,,"one_atomic_raw_shard","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",10,"raw",10,"SRA701877_SRS3279693",,2491,,"one_atomic_raw_shard","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",11,"raw",11,"SRA701877_SRS3279694",,2213,,"one_atomic_raw_shard","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",12,"raw",12,"SRA701877_SRS3279695",,2992,,"one_atomic_raw_shard","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",13,"raw",13,"SRA742961_SRS3565195",,5718,,"one_atomic_raw_shard","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",14,"raw",14,"SRA742961_SRS3565196",,7791,,"one_atomic_raw_shard","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",15,"raw",15,"SRA742961_SRS3565197",,11475,,"one_atomic_raw_shard","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",16,"raw",16,"SRA742961_SRS3565198",,7396,,"one_atomic_raw_shard","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",17,"raw",17,"SRA742961_SRS3565199",,8050,,"one_atomic_raw_shard","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",18,"raw",18,"SRA742961_SRS3565201",,7482,,"one_atomic_raw_shard","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",19,"raw",19,"SRA742961_SRS3565202",,5748,,"one_atomic_raw_shard","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",20,"raw",20,"SRA742961_SRS3565203",,6335,,"one_atomic_raw_shard","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",21,"raw",21,"SRA742961_SRS3565204",,4900,,"one_atomic_raw_shard","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",22,"raw",22,"SRA742961_SRS3565205",,4751,,"one_atomic_raw_shard","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",23,"raw",23,"SRA742961_SRS3565206",,6956,,"one_atomic_raw_shard","closed",FALSE,FALSE,FALSE,FALSE,FALSE
