"view","contribution","cumulative_fraction"
"cell",0.000306214563285858,0.0001311303435615
"cell",0.000387891055363297,0.0035405192761605
"cell",0.00042493334665625,0.00681877786519801
"cell",0.000446094920020496,0.010228166797797
"cell",0.000465936596260899,0.0135064253868345
"cell",0.000484317052750407,0.0169158143194335
"cell",0.000503725019019517,0.020194072908471
"cell",0.000517573550665379,0.02360346184107
"cell",0.00053544377223868,0.0268817204301075
"cell",0.000549755113035018,0.0302911093627065
"cell",0.000561220752023884,0.033569367951744
"cell",0.000572466126934883,0.036978756884343
"cell",0.000586984886717426,0.0402570154733805
"cell",0.000599914587774317,0.0436664044059795
"cell",0.000612674093005677,0.046944662995017
"cell",0.00062409659553626,0.0503540519276161
"cell",0.000632524255081444,0.0536323105166536
"cell",0.000641773388508625,0.0570416994492526
"cell",0.000649518140418596,0.0603199580382901
"cell",0.00065840949898975,0.0637293469708891
"cell",0.000668410483973261,0.0670076055599266
"cell",0.000678022367359364,0.0704169944925256
"cell",0.000685934028214451,0.0736952530815631
"cell",0.000692113107569621,0.0771046420141621
"cell",0.000698408915730946,0.0803829006031996
"cell",0.000706027583068554,0.0837922895357986
"cell",0.000714848477842929,0.0870705481248361
"cell",0.000724036632223636,0.0904799370574351
"cell",0.000730942234368286,0.0937581956464726
"cell",0.000738305350561851,0.0971675845790716
"cell",0.000746692159755617,0.100445843168109
"cell",0.000752755001372756,0.103855232100708
"cell",0.000759913992969707,0.107133490689746
"cell",0.000768939385974788,0.110542879622345
"cell",0.000776804899919731,0.113821138211382
"cell",0.000783820121453237,0.117230527143981
"cell",0.00079279830065715,0.120508785733019
"cell",0.000801365406535943,0.123918174665618
"cell",0.000807230679234142,0.127196433254655
"cell",0.000815063956218223,0.130605822187254
"cell",0.000821620206636235,0.133884080776292
"cell",0.000828566702202102,0.137293469708891
"cell",0.000836821453970559,0.140571728297928
"cell",0.000846838623203954,0.143981117230527
"cell",0.000853432012003372,0.147259375819565
"cell",0.00086020748464721,0.150668764752164
"cell",0.000867005341520822,0.153947023341201
"cell",0.00087580103160067,0.1573564122738
"cell",0.000883759058500876,0.160634670862838
"cell",0.000894058516237157,0.164044059795437
"cell",0.000902665383837071,0.167322318384474
"cell",0.000915289871618584,0.170731707317073
"cell",0.000923211881533329,0.174009965906111
"cell",0.000934888040997735,0.17741935483871
"cell",0.000943261766698046,0.180697613427747
"cell",0.000950298028637577,0.184107002360346
"cell",0.000959594356739926,0.187385260949384
"cell",0.000966244315299903,0.190794649881983
"cell",0.000972110412908997,0.19407290847102
"cell",0.000979593625223541,0.197482297403619
"cell",0.000986547735252068,0.200760555992657
"cell",0.000994708228620761,0.204169944925256
"cell",0.00100318392222643,0.207448203514293
"cell",0.0010136487117528,0.210857592446892
"cell",0.00102318156041707,0.21413585103593
"cell",0.00102903284546068,0.217545239968529
"cell",0.00103716478768536,0.220823498557566
"cell",0.00104413020386851,0.224232887490165
"cell",0.0010525127026989,0.227511146079203
"cell",0.00105999708114199,0.230920535011802
"cell",0.00106808212098993,0.234198793600839
"cell",0.00107885522411106,0.237608182533438
"cell",0.00108324837514494,0.240886441122476
