"dimension","birth","death","homology"
0,0,3.27337242901348,"H0"
0,0,4.03735258195378,"H0"
0,0,4.08145803880874,"H0"
0,0,4.11792083843808,"H0"
0,0,4.12943561323128,"H0"
0,0,4.17657511215303,"H0"
0,0,4.27688620888267,"H0"
0,0,4.28845717472696,"H0"
0,0,4.34576203452199,"H0"
0,0,4.34703954726088,"H0"
0,0,4.34978682137225,"H0"
0,0,4.35429544782341,"H0"
0,0,4.3731572434719,"H0"
0,0,4.41184189352649,"H0"
0,0,4.41434435199468,"H0"
0,0,4.42682106121719,"H0"
0,0,4.46236169322938,"H0"
0,0,4.47663393218328,"H0"
0,0,4.50537998102453,"H0"
0,0,4.52984589577988,"H0"
0,0,4.53047968290517,"H0"
0,0,4.57248487291763,"H0"
0,0,4.60237236328684,"H0"
0,0,4.60754433563292,"H0"
0,0,4.61543684280259,"H0"
0,0,4.62140141001631,"H0"
0,0,4.6238896036682,"H0"
0,0,4.62808442966241,"H0"
0,0,4.63267414298719,"H0"
0,0,4.64449034026969,"H0"
0,0,4.64895496206682,"H0"
0,0,4.65641267484287,"H0"
0,0,4.66369959453131,"H0"
0,0,4.66771978365118,"H0"
0,0,4.6720764561953,"H0"
0,0,4.68478669197429,"H0"
0,0,4.69287962817178,"H0"
0,0,4.71386953248907,"H0"
0,0,4.72181285119789,"H0"
0,0,4.74009358276025,"H0"
0,0,4.7650652058671,"H0"
0,0,4.77056939057639,"H0"
0,0,4.7747982370321,"H0"
0,0,4.77537578832762,"H0"
0,0,4.78244299782997,"H0"
0,0,4.78331061088624,"H0"
0,0,4.78378311473735,"H0"
0,0,4.78490434091293,"H0"
0,0,4.79583886346948,"H0"
0,0,4.82124639679107,"H0"
0,0,4.83656383697851,"H0"
0,0,4.83694593343121,"H0"
0,0,4.84308422945485,"H0"
0,0,4.8468042240069,"H0"
0,0,4.85596450034168,"H0"
0,0,4.85635977311753,"H0"
0,0,4.86179964227167,"H0"
0,0,4.86433060889516,"H0"
0,0,4.86908140174556,"H0"
0,0,4.87491470895418,"H0"
0,0,4.87818454391789,"H0"
0,0,4.87979769737682,"H0"
0,0,4.88397507523777,"H0"
0,0,4.88743013992208,"H0"
0,0,4.89211102770742,"H0"
0,0,4.89507566492044,"H0"
0,0,4.89512709322683,"H0"
0,0,4.89537830683232,"H0"
0,0,4.89721109336612,"H0"
0,0,4.89974310292694,"H0"
0,0,4.90916176780066,"H0"
0,0,4.90947493140253,"H0"
0,0,4.91251634600379,"H0"
0,0,4.91410996905387,"H0"
0,0,4.92785132898309,"H0"
0,0,4.92895473665057,"H0"
0,0,4.92915664042959,"H0"
0,0,4.93840429044456,"H0"
0,0,4.93906556259613,"H0"
0,0,4.95062907636531,"H0"
0,0,4.95517648714126,"H0"
0,0,4.95623686579338,"H0"
0,0,4.95823905838478,"H0"
0,0,4.96935521097366,"H0"
0,0,4.97140258580727,"H0"
0,0,4.9755110333639,"H0"
0,0,4.97767270984412,"H0"
0,0,4.97824005199503,"H0"
0,0,4.98368904984757,"H0"
0,0,4.9874664335012,"H0"
0,0,4.99204788502171,"H0"
0,0,4.99723331273277,"H0"
0,0,4.997991634308,"H0"
0,0,4.99982504491763,"H0"
0,0,5.00195314323871,"H0"
0,0,5.00287930835989,"H0"
0,0,5.00379077585518,"H0"
0,0,5.00393358325734,"H0"
0,0,5.00494880259232,"H0"
0,0,5.00563916371725,"H0"
0,0,5.0069445124147,"H0"
0,0,5.016760966236,"H0"
0,0,5.02320441581025,"H0"
0,0,5.02491823633151,"H0"
0,0,5.04553149136055,"H0"
0,0,5.04624382541637,"H0"
0,0,5.04954866538804,"H0"
0,0,5.04963790330225,"H0"
0,0,5.0576579683423,"H0"
0,0,5.06333621209633,"H0"
0,0,5.06432969952031,"H0"
0,0,5.07214766657473,"H0"
0,0,5.07573510899168,"H0"
0,0,5.08727596250733,"H0"
0,0,5.08952121661344,"H0"
0,0,5.09578371925733,"H0"
0,0,5.09648045077738,"H0"
0,0,5.09719466954946,"H0"
0,0,5.10597072862952,"H0"
0,0,5.10754898923656,"H0"
0,0,5.10956991978377,"H0"
0,0,5.10966118470332,"H0"
0,0,5.11142052756429,"H0"
0,0,5.12372345233967,"H0"
0,0,5.13497694715979,"H0"
0,0,5.13870727533605,"H0"
0,0,5.13895548377796,"H0"
0,0,5.14114445545298,"H0"
0,0,5.14261207557544,"H0"
0,0,5.16004611319437,"H0"
0,0,5.16320461102349,"H0"
0,0,5.16545958073419,"H0"
0,0,5.1733690069063,"H0"
0,0,5.17622140305014,"H0"
0,0,5.18928346882323,"H0"
0,0,5.19149779022899,"H0"
0,0,5.19153802932972,"H0"
0,0,5.19189521172195,"H0"
0,0,5.19284856603743,"H0"
0,0,5.20260115669759,"H0"
0,0,5.20320355994128,"H0"
0,0,5.2052801121186,"H0"
0,0,5.21066408363422,"H0"
0,0,5.21468041501821,"H0"
0,0,5.22877916772575,"H0"
0,0,5.24582630348854,"H0"
0,0,5.25432773648316,"H0"
0,0,5.25468753902624,"H0"
0,0,5.27124477217696,"H0"
0,0,5.27344084289368,"H0"
0,0,5.27954558163029,"H0"
0,0,5.28378033053854,"H0"
