"contract_id","source_order","artifact","bytes","sha256"
"mv10p_source_freeze_v1",1,"/mnt/e/Repositories/Jonah/PH_ClusteringApp/_worktrees/scphcompare-mv06/tmp/mv10e-full-clustering-private-v1/mv10e-sample-partitions.csv",56572844,"4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710"
"mv10p_source_freeze_v1",2,"/mnt/e/Repositories/Jonah/PH_ClusteringApp/_worktrees/scphcompare-mv06/docs/audits/mv10e-full-clustering-benchmark-v1/mv10e-artifact-manifest.csv",948,"215ea3097a1951c62340cce66d558d2eb37a45e16535a107c45f0615dba71c10"
"mv10p_source_freeze_v1",3,"/mnt/e/Repositories/Jonah/PH_ClusteringApp/_worktrees/scphcompare-mv06/docs/audits/mv10o-clustering-disposition-closure-v1/mv10o-artifact-manifest.csv",559,"a8e246354a4dfcfd0db7e98a4ce1454c40ba261f2c36020463a8aae7d0975cbc"
"mv10p_source_freeze_v1",4,"/mnt/e/Repositories/Jonah/PH_ClusteringApp/_worktrees/scphcompare-mv06/docs/audits/mv10o-clustering-disposition-closure-v1/mv10o-validation.csv",1221,"b144cfd22b570b084340d9c95d599983370abf80d1d19b40d59f7667550ac5e5"
"mv10p_source_freeze_v1",5,"/mnt/e/Repositories/Jonah/PH_ClusteringApp/_worktrees/scphcompare-mv06/docs/audits/mv07d-prefreeze-evidence/mv07d-sample-reconciliation.csv",32276,"ff448cab8dc056d5a7c89fce7cde75f0844cb8c8d6a990195308e5322693afe0"
"mv10p_source_freeze_v1",6,"/mnt/e/Repositories/Jonah/PH_ClusteringApp/_worktrees/scphcompare-mv06/docs/audits/mv07e-prefreeze-evidence/mv07e-canonical-approach.csv",24562,"ed37c25d00c62b09c3e598a551f75853afbb9f9d8b939300225808444d379b18"
"mv10p_source_freeze_v1",7,"docs/audits/mv07i-outcome-prefreeze-evidence/mv07i-outcome-metadata-counts.csv",5063,"fe2ad3eaee899ab2373fb4dd6d05314f3163f7224ba2f433d2d6b59ae1350252"
"mv10p_source_freeze_v1",8,"docs/audits/mv07i-outcome-prefreeze-evidence/mv07i-outcome-metrics.csv",605,"1e9a7ddee0deb7aebd81a8deaefed14d9ac6f8641836a7af0a51cf8fe84cdf48"
"mv10p_source_freeze_v1",9,"docs/audits/mv07i-outcome-prefreeze-evidence/mv07i-outcome-confounding-boundaries.csv",1032,"2f741e9058e38c3cd17ebd04e0518f08adede30e538f4df9ebf4606c6d4938b0"
