"contract_id","comparison_order","dataset_scope","contrast_id","seed","homology_dimension","units","unordered_pairs","maximum_summary_numeric_difference","maximum_neighbor_difference","pair_axis_sha256","independently_recomputed"
"mv08zz_recomputation_v1",27,"internal124","net_migration_effect",20260808,"H1",124,7626,6.66133814775094e-16,4.44089209850063e-16,"9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
"mv08zz_recomputation_v1",28,"internal124","fit_scope_effect",20260809,"H1",124,7626,4.44089209850063e-16,4.44089209850063e-16,"9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
"mv08zz_recomputation_v1",29,"internal124","layer_effect",20260809,"H1",124,7626,3.77475828372553e-15,4.44089209850063e-16,"9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
"mv08zz_recomputation_v1",30,"internal124","net_migration_effect",20260809,"H1",124,7626,3.10862446895044e-15,4.44089209850063e-16,"9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
"mv08zz_recomputation_v1",31,"external8","fit_scope_effect",20260805,"H0",8,28,4.44089209850063e-16,0,"3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e",TRUE
"mv08zz_recomputation_v1",32,"external8","layer_effect",20260805,"H0",8,28,4.44089209850063e-16,0,"3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e",TRUE
"mv08zz_recomputation_v1",33,"external8","common475_net_migration_effect",20260805,"H0",8,28,4.44089209850063e-16,0,"3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e",TRUE
"mv08zz_recomputation_v1",34,"external8","residual_panel_effect",20260805,"H0",8,28,4.88498130835069e-15,0,"3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e",TRUE
"mv08zz_recomputation_v1",35,"external8","exact500_total_migration_effect",20260805,"H0",8,28,4.44089209850063e-16,0,"3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e",TRUE
"mv08zz_recomputation_v1",36,"external8","fit_scope_effect",20260805,"H1",8,28,4.02455846426619e-16,0,"3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e",TRUE
"mv08zz_recomputation_v1",37,"external8","layer_effect",20260805,"H1",8,28,3.33066907387547e-16,0,"3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e",TRUE
"mv08zz_recomputation_v1",38,"external8","common475_net_migration_effect",20260805,"H1",8,28,4.44089209850063e-16,0,"3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e",TRUE
"mv08zz_recomputation_v1",39,"external8","residual_panel_effect",20260805,"H1",8,28,4.44089209850063e-16,0,"3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e",TRUE
"mv08zz_recomputation_v1",40,"external8","exact500_total_migration_effect",20260805,"H1",8,28,4.9960036108132e-16,0,"3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e",TRUE
