"contract_id","sample_id","tissue","selection_boundary","expected_post_qc_cells","observed_source_cells","observed_source_genes","individual_source_file","individual_source_sha256","seed","selected_cells","selected_cell_sha256","sct_genes","sct_cells","sct_payload_sha256","raw_elapsed_seconds","raw_peak_rss_bytes","sct_elapsed_seconds","sct_peak_rss_bytes","elapsed_cap_seconds","rss_cap_bytes","finite_sct_payload","source_sct_feasible","ph_computed","landscape_computed","biological_outcomes_computed","accepted_head"
"mv07d_omitted_source_sct_feasibility_v1","SRA701877_SRS3279688","pancreatic islets","minimum_post_qc_cells",396,396,13884,"SRA701877_SRS3279688.rds","fefd1448f284e5deaa24b10c3397bce96eecb73cb85a1565994cbeed48371343",20260805,384,"640f1d66d9edcbf9b28fe978fb16689f294c748d442e8e4156de4c42962d9d2f",12724,384,"60da863cc1fbd8b4fac71ef3ee5b4543e955196972344e23cd0f536991327007",7.50945949554443,463486976,21.3732416629791,1138036736,1800,8589934592,TRUE,TRUE,FALSE,FALSE,FALSE,"f2588655ff4bf0ab6deb7c96316c93d3a93b3093"
"mv07d_omitted_source_sct_feasibility_v1","SRA701877_SRS3279695","pancreatic islets","maximum_post_qc_cells",2992,2992,21759,"SRA701877_SRS3279695.rds","c975b5eac0e6683d9207d4c7eb0574644eacd885e41d79e59590ce380573eacb",20260805,384,"c72f602d3735b87031fd7e1b4ffb9871aa58a9e8a51623834ef666ea019c72f8",13205,384,"22c6d438a875796b89059680e784d0d63d77a85855642e35a69f850efad4f714",22.6272683143616,841306112,20.0890836715698,1234501632,1800,8589934592,TRUE,TRUE,FALSE,FALSE,FALSE,"f2588655ff4bf0ab6deb7c96316c93d3a93b3093"
"mv07d_omitted_source_sct_feasibility_v1","SRA742961_SRS3565205","prostate","minimum_post_qc_cells",4751,4751,20996,"SRA742961_SRS3565205.rds","52ddfb8c6547efbd0bfc65f7f17f293820424450258aca5db85db842e8447ac0",20260805,384,"9650da222d60f1e0fd50f3947b62485357914a7da61444809ce8e7bd3ec5b931",11048,384,"d840796be070f2b848ccd728d604e94cf687ace83e38dc2a928dfcbb942c8f0d",28.6010239124298,958296064,18.8204262256622,1272258560,1800,8589934592,TRUE,TRUE,FALSE,FALSE,FALSE,"f2588655ff4bf0ab6deb7c96316c93d3a93b3093"
"mv07d_omitted_source_sct_feasibility_v1","SRA742961_SRS3565197","prostate","maximum_post_qc_cells",11475,11475,22887,"SRA742961_SRS3565197.rds","d751d910bf1b13d2ea62f953d04c7303ee5a9dd4d8ae9379ab154fb61efe780b",20260805,384,"bf9e78949448c34b645fb456b076b388a58a598f73546ea0de235aeda9a585bf",9647,384,"fb186e4a809653434a791e1323ba0cd85df4dd3e7c9fe357bdcc3d9272a60ea8",58.3923442363739,1559584768,20.3620340824127,1581699072,1800,8589934592,TRUE,TRUE,FALSE,FALSE,FALSE,"f2588655ff4bf0ab6deb7c96316c93d3a93b3093"
"mv07d_omitted_source_sct_feasibility_v1","SRA850958_SRS4386113","substantia nigra","minimum_post_qc_cells",584,584,14540,"SRA850958_SRS4386113.rds","c503a782569c0ffbb6aa216101170306385d82415b9711fa89b106a22062da1a",20260805,384,"1025800819d7167be0a33a2776fc1bf1e899bb1ac0af0fc2bc77571d56032a15",11902,384,"9b9b209eb5f23997341ae7c2f20d889c4932572f5933e0d8c38d2e803d8d7269",7.5909276008606,461811712,20.358293056488,1115951104,1800,8589934592,TRUE,TRUE,FALSE,FALSE,FALSE,"f2588655ff4bf0ab6deb7c96316c93d3a93b3093"
"mv07d_omitted_source_sct_feasibility_v1","SRA850958_SRS4386101","substantia nigra","maximum_post_qc_cells",1015,1015,16315,"SRA850958_SRS4386101.rds","797f06631b6a046eee4158d25a6f7fb7581ffaaeb52e407ad0f80cae70316536",20260805,384,"ff687c201e04652e9baf05c0acb61dbf72162f47b9b4066690b9a50668a3ad23",10865,384,"83033c777a000a6a39d6340a04501887248a9ffc27b856cf37c4f8b97160658a",13.4405155181885,486916096,18.5586137771606,1012363264,1800,8589934592,TRUE,TRUE,FALSE,FALSE,FALSE,"f2588655ff4bf0ab6deb7c96316c93d3a93b3093"
