"config_id","min_cells","sct_feature_count","panel_retained","missing_panel_count","exact500_retained","standardized_finite","zero_variance_gene_count","minimum_gene_sd","correlation_chord_valid","eligible_cells","raw_panel_detection_minimum","raw_panel_detection_median","raw_panel_detection_maximum","exact500_panel_sha256","common475_panel_sha256","reference_record_sha256","labels_outcomes_opened","persistence_computed","landscapes_computed","fusion_computed"
"sct_default_min_cells5_all_qc",5,14411,500,0,TRUE,TRUE,1,0,FALSE,4614,33,1763.5,4613,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","b7b802ca862a63d7a4bbcaeab5af1192577663992a5ebde831371b6efafbc0ba","59aab644a4802ef4aaad45e8c5e857e8251145df47057ec088c83083391cef45",FALSE,FALSE,FALSE,FALSE
"sct_lowcount_min_cells1_all_qc",1,18737,500,0,TRUE,TRUE,1,0,FALSE,4614,33,1763.5,4613,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","b7b802ca862a63d7a4bbcaeab5af1192577663992a5ebde831371b6efafbc0ba","59aab644a4802ef4aaad45e8c5e857e8251145df47057ec088c83083391cef45",FALSE,FALSE,FALSE,FALSE
